Pseudonym;Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity
Р. Словцов;Калишевич Н.В.;Князь А.И. Одоевский;Рецензия на публикацию;Академия;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Одоевский А.И.;А.И. Одоевский. Полное собрание стихотворений и писем;Последние новости;Париж;Газета;№5131;11.04.1935;3;Подвал
В. Вейдле;Вейдле В.В.;Французские стихи Рильке;Рецензия на художественную книгу;Рильке Р.М.;Немецкая литература;XXв.;;;;Poèmes français;Последние новости;Париж;Газета;№5131;11.04.1935;3;Чердак
Даманская А.;Даманская А.;Беспощадная Клио;Персональная статья;Меркейр Э.;Французская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№5138;18.04.1935;3;Подвал
Г.А.;Адамович Г.В.;Панаит Истрати;Некролог;Истрати П.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№5138;18.04.1935;3;Чердак
Н. К—гъ;Кнорринг Н.Н.;Детская книга;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№5138;18.04.1935;3;Чердак
В. Вейдле;Вейдле В.В.;Жизнь Диккенса;Рецензия на исследование;Кингсмилл Х.;Английская литература;XXв.;Английская литература;2/2 XIXв.;Диккенс Ч.;The Sentimental Journey. A life of Charles Dickens;Последние новости;Париж;Газета;№5138;18.04.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;«Вишневый сад» — чеховский и советский;Рецензия на исследование;Балухатый С.Д., Петров Н.В.;Русская литература;Советская литература;;;;Драматургия Чекова;Последние новости;Париж;Газета;№5143;23.04.1935;4;Подвал
Г.А.;Адамович Г.В.;Оценки Пушкина;Рецензия на публикацию;Академия;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;Пушкин-критик;Последние новости;Париж;Газета;№5145;25.04.1935;2;Подвал
Р. Словцов;Калишевич Н.В.;«Любовь и дружба»;Рецензия на публикацию;Ашукин Н.С., Академия;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Михайлов М.Л.;М.Л. Михайлов. Полное собрание стихотворений ;Последние новости;Париж;Газета;№5145;25.04.1935;3;Подвал
—мъ;;Достоевский в Италии;Рецензия на исследование;Гатто Л.;Итальянская литература;XXв.;Русская литература;2/2 XIXв.;Достоевский Ф.М.;;Последние новости;Париж;Газета;№5145;25.04.1935;3;Чердак
