author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia
Зощенко М.М.;Психологическая история;Последние новости;Париж;газета;№3283;1930;29.03;проза;полный текст;;4;;;
Зощенко М.М.;Не надо спекулировать;Последние новости;Париж;газета;№3353;1930;28.05;проза;полный текст;;3;;;
Шолохов М.А.;Тихий Дон;Последние новости;Париж;газета;№3370;1930;14.06;проза;отрывок;Из 6 части;4;;;Красная Нива
Самсонов Б.;Два специалиста;Последние новости;Париж;газета;№3385;1930;29.06;проза;полный текст;;2;;;
Грамен Н.К.;Паршивые овцы;Последние новости;Париж;газета;№3413;1930;27.07;проза;полный текст;;5;;;
Зощенко М.М.;Сторож;Последние новости;Париж;газета;№3416;1930;30.07;проза;полный текст;;3;;;
Витязев Д.;Воздерживаюсь;Последние новости;Париж;газета;№3427;1930;10.08;проза;полный текст;;5;;;Звезда
Строганов А.;В столовке;Последние новости;Париж;газета;№3441;1930;24.08;проза;полный текст;;4;;;Ревизор
Зощенко М.М.;Лошадиное средство;Последние новости;Париж;газета;№3455;1930;07.09;проза;полный текст;;5;;;
Тоболяков В.;Сапоги;Последние новости;Париж;газета;№3511;1930;02.11;проза;полный текст;;3;;;
Зощенко М.М.;Необыкновенное происшествие;Последние новости;Париж;газета;№3573;1931;03.01;проза;полный текст;;4;;;
Тоболяков В.;Развлечение;Последние новости;Париж;газета;№3630;1931;01.03;проза;полный текст;;2;;;
Зощенко М.М.;Доктор медицины ;Последние новости;Париж;газета;№3745;1931;24.06;проза;полный текст;;3;1931;;Гослитиздат
Зощенко М.М.;Не дают развернуться;Последние новости;Париж;газета;№3747;1931;26.04;проза;полный текст;;2;;;
Бобров Н.;Собаки акад. И. П. Павлова;Последние новости;Париж;газета;№3800;1931;18.08;проза;полный текст;;4;;;Молодая гвардия
Зощенко М.М.;Больные;Последние новости;Париж;газета;№3805;1931;23.08;проза;полный текст;;5;;;
Бабель И.Э.;В подвале;Последние новости;Париж;газета;№3918;1931;14.12;проза;полный текст;;2–3;1931;;Новый мир
Бабель И.Э.;Конец богадельни;Последние новости;Париж;газета;№3993;1932;27.02;проза;полный текст;;2—3;1932;;30 дней
Бабель И.Э.;Дорога;Последние новости;Париж;газета;№4032;1932;06.04;проза;полный текст;;2;1932;;30 дней
Зощенко М.М.;Слабая тара;Последние новости;Париж;газета;№4049;1932;23.04;проза;полный текст;;5;1932;;Крокодил
Бабель И.Э.;Аргамак;Последние новости;Париж;газета;№4081;1932;25.05;проза;полный текст;;3;1932;;Новый мир
Леонов Л.;Облава;Последние новости;Париж;газета;№4148;1932;31.07;проза;полный текст;;5;;;
Леонов Л.;Скутаревский;Последние новости;Париж;газета;№4162;1932;14.08;проза;отрывок;Матвей Никеич;4;1932;;Новый мир
Ильф И. И Петров Е.;Советский Робинзон ;Последние новости;Париж;газета;№4238;1932;29.10;проза;полный текст;;5;;;Известия
Самойлович Р.;На крайнем Севере;Последние новости;Париж;газета;№4251;1932;11.11;проза;полный текст;;3;;;Сов.сборн
Ильф И. И Петров Е.;Клоп;Последние новости;Париж;газета;№4284;1932;14.12;проза;полный текст;;2—3;;;Правда
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4308;1933;07.01;проза;отрывок;Зимой, после стрелецких казней;4;;;Вечерняя Москва
Ильф И. И Петров Е.;Человек с гусем;Последние новости;Париж;газета;№4323;1933;22.01;проза;полный текст;;5;1933;18.01;Правда
Зощенко М.М.;Беспокойный старичок;Последние новости;Париж;газета;№4333;1933;01.02;проза;полный текст;;3;1933;январь;Крокодил
Зощенко М.М.;Врачевание и психика;Последние новости;Париж;газета;№4341;1933;09.02;проза;полный текст;;5;1933;;Огонек
Зощенко М.М.;Кража;Последние новости;Париж;газета;№4375;1933;15.03;проза;полный текст;;3;1933;;Крокодил
Пришвин М.;Звери;Последние новости;Париж;газета;№4386;1933;26.03;проза;полный текст;;6;1932;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4408;1933;17.04;проза;полный текст;;2;;;Новый мир
Зощенко М.М.;Свадьба;Последние новости;Париж;газета;№4421;1933;30.04;проза;отрывок;;6;1933;;Красная новь
Зощенко М.М.;Свадьба;Последние новости;Париж;газета;№4422;1933;01.05;проза;отрывок;;3;1933;;Красная новь
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4438;1933;17.05;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4445;1933;24.05;проза;отрывок;;2—3;;;Красная новь
Ильф И. И Петров Е.;Футбол;Последние новости;Париж;газета;№4448;1933;27.05;проза;полный текст;;5;;;Крокодил
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4463;1933;11.06;проза;отрывок;;5;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4485;1933;03.07;проза;отрывок;Карл XII, король шведский;3;;;Красная газета
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4505;1933;23.07;проза;отрывок;;7;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4511;1933;29.07;проза;отрывок;;4;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4533;1933;20.08;проза;отрывок;;5;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4534;1933;21.08;проза;отрывок;;3;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4539;1933;26.08;проза;отрывок;;4;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4540;1933;27.08;проза;отрывок;;5;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4557;1933;13.09;проза;отрывок;;3;;;Новый мир
Ильф И. И Петров Е.;Красная парикмахерская;Последние новости;Париж;газета;№4558;1933;14.09;проза;полный текст;;5;;;
Пришвин М.;На Дальнем Востоке;Последние новости;Париж;газета;№4565;1933;21.09;проза;полный текст;;4;;;Молодая гвардия
Пришвин М.;Хромко и Игрунья (полярный роман);Последние новости;Париж;газета;№4581;1933;07.10;проза;полный текст;;5;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4667;1934;01.01;проза;отрывок;;4;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4671;1934;05.01;проза;отрывок;;2;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4706;1934;09.02;проза;отрывок;;5;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4708;1934;11.02;проза;отрывок;;6;;;Вечерняя Москва
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4714;1934;18.02;проза;отрывок;;5;;;Красная новь
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4742;1934;18.03;проза;отрывок;;4;;;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4746;1934;22.03;проза;отрывок;;2;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4749;1934;25.03;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4756;1934;01.04;проза;отрывок;;5;;;Красная газета
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4763;1934;08.04;проза;отрывок;;5—6;;;Литературная газета
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4773;1934;18.04;проза;отрывок;Глава четвертая;2;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4777;1934;22.04;проза;отрывок;;5—6;;;Новый мир
Зощенко М.М.;Рассказ про одного спекулянта;Последние новости;Париж;газета;№4781;1934;26.04;проза;полный текст;;4;1934;;Изд. Писателей в Ленинграде 
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4798;1934;13.05;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4803;1934;18.05;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4805;1934;20.05;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4807;1934;22.05;проза;отрывок;;3;;;Новый мир
Ильф И. И Петров Е.;Костяная нога;Последние новости;Париж;газета;№4809;1934;24.05;проза;полный текст;;4;1934;19.05;Правда
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4824;1934;08.06;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4826;1934;10.06;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4832;1934;16.06;проза;отрывок;;3;;;Новый мир
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4833;1934;17.06;проза;отрывок;;4;;;Новый мир
Ильф И. И Петров Е.;На купоросном фронте;Последние новости;Париж;газета;№5054;1935;24.01;проза;полный текст;;4;1935;17.01;Правда
Толстой А.Н.;Встреча Петра Первого с Екатериной;Последние новости;Париж;газета;№5134;1935;14.04;драма;отрывок;;5—6;1935;;Новый мир
Шолохов М.А.;Тихий Дон;Последние новости;Париж;газета;№5136;1935;16.04;проза;отрывок;;4;;;Известия
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5141;1935;21.04;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5143;1935;23.04;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5155;1935;05.05;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5159;1935;09.05;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5162;1935;12.05;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5164;1935;14.05;проза;отрывок;Детство;4;;;Литературный современник
Зощенко М.М.;Баня и люди;Последние новости;Париж;газета;№5166;1935;16.05;проза;полный текст;;4;1935;;Крокодил
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5169;1935;19.05;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5171;1935;21.05;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5176;1935;26.05;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5185;1935;04.06;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5190;1935;09.06;проза;отрывок;Детство;3;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5192;1935;11.06;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5197;1935;16.06;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5199;1935;18.06;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5204;1935;23.06;проза;отрывок;Детство;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5206;1935;25.06;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5211;1935;30.06;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5218;1935;07.07;проза;отрывок;Детство;5—6;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5224;1935;13.07;проза;отрывок;Детство;2;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5232;1935;21.07;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5234;1935;23.07;проза;отрывок;Детство;3;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5239;1935;28.07;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5241;1935;30.07;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5246;1935;04.08;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5248;1935;06.08;проза;отрывок;Детство;3;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5253;1935;11.08;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5255;1935;13.08;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5260;1935;18.08;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5262;1935;20.08;проза;отрывок;Детство;3, 5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5267;1935;25.08;проза;отрывок;Детство;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5281;1935;08.09;проза;отрывок;Лицей;7;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5288;1935;15.09;проза;отрывок;Лицей;6;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5295;1935;22.09;проза;отрывок;Лицей;6;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5302;1935;29.09;проза;отрывок;Лицей;6;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5330;1935;27.10;проза;отрывок;Лицей;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5344;1935;10.11;проза;отрывок;Лицей;4;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5351;1935;17.11;проза;отрывок;Лицей;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5372;1935;08.12;проза;отрывок;Лицей;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5386;1935;22.12;проза;отрывок;Лицей;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5393;1935;29.12;проза;отрывок;Лицей;5;;;Литературный современник
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5400;1936;05.01;проза;отрывок;Лицей;4;;;Литературный современник
Зощенко М.М.;Рассказ об имениннице;Последние новости;Париж;газета;№5511;1936;25.04;проза;полный текст;;5;1935;;Голубая книга
Колосов А.;Случай на лугу;Последние новости;Париж;газета;№5630;1936;23.08;проза;полный текст;;6;;;Правда
Зощенко М.М.;Поминки;Последние новости;Париж;газета;№5761;1937;01.01;проза;полный текст;;6;;;
Ардов В.;Свободная торговля;Последние новости;Париж;газета;№5765;1937;05.01;проза;полный текст;;5;;;Крокодил
Зощенко М.М.;Веселая игра;Последние новости;Париж;газета;№5888;1937;09.05;проза;полный текст;;5;;;
Бабель И.Э.;Поцелуй;Последние новости;Париж;газета;№6011;1937;09.09;проза;полный текст;;4;1937;;Красная новь
Бабель И.Э.;Ди Грассо;Последние новости;Париж;газета;№6019;1937;17.09;проза;полный текст;;5;1937;;Огонек
Катаев В.;Немцы;Последние новости;Париж;газета;№6118;1937;25.12;проза;полный текст;;7;;;
Катаев В.;Сваты;Последние новости;Париж;газета;№6125;1938;01.01;проза;полный текст;;6;;;
Зощенко М.М.;Без радости любовь;Последние новости;Париж;газета;№6388;1938;22.09;проза;полный текст;;4;;;
Зощенко М.М.;Клинический случай;Последние новости;Париж;газета;№6434;1938;07.11;проза;полный текст;;3;;;Крокодил
Зощенко М.М.;Происшествие;Последние новости;Париж;газета;№6667;1939;29.06;проза;полный текст;;4;;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;1939;03.07;проза;полный текст;Синий лапоть;3;;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;1939;03.07;проза;полный текст;Копыто;3;;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;1939;08.07;проза;полный текст;Звери-кормильцы;4;;;Новый мир
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;1939;08.07;проза;полный текст;Пиковая дама;4;;;Новый мир
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;1939;14.07;проза;полный текст;Лимон;3;;;Новый мир
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;1939;14.07;проза;полный текст;Лада;3;;;Новый мир
Волошин М.;Неопалимая купина;Руль;Берлин;газета;№120;1920;09.12;стихи;полный текст;;3;;;
Вольнов И.;Сход;Руль;Берлин;газета;№1038;1924;04.05;проза;отрывок;;2—3;;;Красная новь
Вольнов И.;Сход;Руль;Берлин;газета;№1039;1924;06.05;проза;отрывок;;2—3;;;Красная новь
Пришвин М.;Голубиная книга;Руль;Берлин;газета;№1044;1924;11.05;проза;полный текст;;2—3;;;Красная новь
Леонов Л.;Записи некоторых эпизодов сделанные в городе Гогулеве Андреем Петровичем Ковякиным;Руль;Берлин;газета;№1062;1924;03.06;проза;отрывок;;2—3;;;Русский современник
Сологуб Ф.;Не слышу слов, но мне понятна;Руль;Берлин;газета;№1068;1924;11.06;стихи;полный текст;;4;;;Русский современник
Сологуб Ф.;Я сам закон игры установил;Руль;Берлин;газета;№1068;1924;11.06;стихи;полный текст;;4;;;Русский современник
Сологуб Ф.;Безумствует жестокий рок;Руль;Берлин;газета;№1068;1924;11.06;стихи;полный текст;;4;;;Русский современник
Сологуб Ф.;Ходит трепало;Руль;Берлин;газета;№1068;1924;11.06;стихи;полный текст;;4;;;Русский современник
Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1075;1924;19.06;проза;отрывок;;2—3;;;Красная новь
Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1076;1924;20.06;проза;отрывок;;2—3;;;Красная новь
Инбер В.;Квартира №32;Руль;Берлин;газета;№1107;1924;26.07;проза;полный текст;;2—3;;;Красная Нива
Шишков В.;Кострома;Руль;Берлин;газета;№1125;1924;16.08;проза;полный текст;;4;;;Известия
Меньшой А. (А.Г. Гай);Старец Анисим;Руль;Берлин;газета;№1156;1924;21.09;проза;полный текст;;2—3;;;Известия
Пильняк Б.А.;Отрывки из дневника;Руль;Берлин;газета;№1180;1924;19.10;проза;полный текст;;2—3;;;Круг
Толстой А.Н.;Заговор императрицы;Руль;Берлин;газета;№1246;1925;09.01;проза;отрывок;2 картина первого действия ;2—3;;;Жизнь искусства
Добычин Л.;Встречи с Лиз;Руль;Берлин;газета;№1275;1925;12.02;проза;полный текст;;2—3;;;Красная новь
Инбер В.;Беспомощный учитель;Руль;Берлин;газета;№1281;1925;19.02;проза;полный текст;;2—3;;;Огонек
Афрамеев Н.;Сверчок;Руль;Берлин;газета;№1297;1925;10.03;проза;полный текст;;2—3;;;Красная Нива
Инбер В.;Трудная жизнь Муры;Руль;Берлин;газета;№1314;1925;29.03;проза;полный текст;;2—3;;;Огонек
Есенин С.А.;Персидские мотивы;Руль;Берлин;газета;№1314;1925;29.03;стихи;полный текст;;8;;;
Радимов П.;Телега;Руль;Берлин;газета;№1314;1925;29.03;проза;полный текст;;8;;;
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1320;1925;05.04;проза;отрывок;Три кита;8;;;Красная новь
Пильняк Б.А.;На могиле Чехова;Руль;Берлин;газета;№1321;1925;07.04;проза;полный текст;;2;;;Красная новь
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1323;1925;09.04;проза;отрывок;Рябая корова;2—3;;;Красная новь
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1325;1925;12.04;проза;отрывок;Инструкция;5;;;Красная новь
Зощенко М.М.;Самородок;Руль;Берлин;газета;№1325;1925;12.04;проза;полный текст;;7;;;Красная новь
Маяковский В.В.;Тамара и Демон;Руль;Берлин;газета;№1325;1925;12.04;стихи;полный текст;;8;;;Красная новь
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1330;1925;19.04;проза;отрывок;Святая женщина;8;;;Красная новь
Зощенко М.М.;Мещанство;Руль;Берлин;газета;№1330;1925;19.04;проза;полный текст;;8;;;Бегемот
Есенин С.А.;Несказанное, синее, нежное;Руль;Берлин;газета;№1336;1925;26.04;стихи;полный текст;;5;;;Красная новь
Романов П.;Терпеливый народ;Руль;Берлин;газета;№1336;1925;26.04;проза;полный текст;;8;;;Красная новь
Федорович В.;;Руль;Берлин;газета;№1336;1925;26.04;проза;полный текст;;7;;;
Акульшин Р.;О чем шепчет деревня;Руль;Берлин;газета;№1349;1925;12.05;проза;полный текст;;2—3;;;Красная Нива
Рен Л.;Охраняемое здравие;Руль;Берлин;газета;№1359;1925;24.05;проза;полный текст;;7;;;
Флит Б.;Не догонишь;Руль;Берлин;газета;№1359;1925;24.05;проза;полный текст;;7;;;
Козырев М.;Красная свадьба;Руль;Берлин;газета;№1359;1925;24.05;проза;полный текст;;8;;;Красная Нива
Карпов Н.А.;Лекпом Коновалов;Руль;Берлин;газета;№1365;1925;31.05;проза;полный текст;;7;;;
Зощенко М.М.;Доходная статья;Руль;Берлин;газета;№1365;1925;31.05;проза;полный текст;;7—8;;;
Зощенко М.М.;Счастливое детство;Руль;Берлин;газета;№1360;1925;07.06;проза;полный текст;;7;;;Бегемот
Пильняк Б.А.;Гибель «Свердрупа»;Руль;Берлин;газета;№1376;1925;14.06;проза;полный текст;;2—3;;;Красная новь
Романов П.;Вредная штука;Руль;Берлин;газета;№1380;1925;19.06;проза;полный текст;;2—3;;;Красная новь
Романов П.;Зеленая армия или уличные командиры;Руль;Берлин;газета;№1382;1925;21.06;проза;полный текст;;2—3;;;Красная новь
Никитин Н.;Перед судом;Руль;Берлин;газета;№1386;1925;26.06;проза;полный текст;;2—3;;;Прожектор
Инбер В.;Соловей и роза;Руль;Берлин;газета;№1388;1925;28.06;проза;полный текст;;2—3;;;Прожектор
Ардов В.;Меры пресечения;Руль;Берлин;газета;№1388;1925;28.06;проза;полный текст;;7;;;Красный перец
Ломакин И.;Сверчок;Руль;Берлин;газета;№1394;1925;05.07;проза;полный текст;;8;;;Бегемот
Бабель И.Э.;Линия и цвет;Руль;Берлин;газета;№1394;1925;05.07;проза;полный текст;;9;;;
Романов П.;Видение;Руль;Берлин;газета;№1400;1925;12.07;проза;отрывок;;2—3;;;Красная новь
Романов П.;Видение;Руль;Берлин;газета;№1401;1925;14.07;проза;отрывок;;2—3;;;Красная новь
Романов П.;Видение;Руль;Берлин;газета;№1403;1925;16.07;проза;отрывок;;2—3;;;Красная новь
Романов П.;Видение;Руль;Берлин;газета;№1404;1925;17.07;проза;отрывок;;2—3;;;Красная новь
Маяковский В.В.;Еду;Руль;Берлин;газета;№1406;1925;19.07;стихи;отрывок;;5;;;Прожектор
Пильняк Б.А.;Россия в полете;Руль;Берлин;газета;№1411;1925;25.07;проза;полный текст;;2—3;;;Известия
Саянский Л.;Круговорот;Руль;Берлин;газета;№1412;1925;26.07;проза;полный текст;;5;;;Бегемот
Зощенко М.М.;Уличное происшествие;Руль;Берлин;газета;№1412;1925;26.07;проза;полный текст;;5;;;Бегемот
Курочкин С.;Шипы и розы;Руль;Берлин;газета;№1412;1925;26.07;проза;полный текст;;5—6;;;Бегемот
Маяковский В.В.;Летающий пролетарий;Руль;Берлин;газета;№1418;1925;02.08;стихи;полный текст;;5;;;Красная Нива
Есенин С.А.;Несказанное, синее, нежное;Руль;Берлин;газета;№1418;1925;02.08;стихи;полный текст;;5;;;Красная Нива
Либединский Ю.;Комиссары;Руль;Берлин;газета;№1421;1925;06.08;проза;отрывок;На переломе;2—3;;;Звезда
Инбер В.;Столица на Волге;Руль;Берлин;газета;№1424;1925;09.08;проза;полный текст;;5;;;Огонек
Форш О.Д.;Хируроид;Руль;Берлин;газета;№1429;1925;15.08;проза;полный текст;;2—3;;;
Романов П.;Козявки;Руль;Берлин;газета;№1433;1925;20.08;проза;полный текст;;2—3;;;Прожектор
Свэн И.;Профессионал;Руль;Берлин;газета;№1436;1925;23.08;проза;полный текст;;5—6;;;Бегемот
Романов П.;Хороший комитет;Руль;Берлин;газета;№1439;1925;27.08;проза;полный текст;;2—3;;;Красная новь
Федин К.А.;Рассказ об одном утре;Руль;Берлин;газета;№1442;1925;30.08;проза;полный текст;;2—3;;;
Романов П.;Дар Божий;Руль;Берлин;газета;№1448;1925;06.09;проза;полный текст;;2—3;;;Красная новь
Зощенко М.М.;Тормаз Вестингауза;Руль;Берлин;газета;№1448;1925;06.09;проза;полный текст;;7;;;Бегемот
Пильняк Б.А.;Пермь;Руль;Берлин;газета;№1454;1925;13.09;проза;отрывок;;5;;;Известия
Павлов В.;Хамелеон (почти по Чехову);Руль;Берлин;газета;№1454;1925;13.09;проза;полный текст;;7;;;Бегемот
Тренев К.;В голодной деревне;Руль;Берлин;газета;№1460;1925;20.09;проза;полный текст;;2—3;;сентябрь;Новый мир
Инбер В.;На гидроплане;Руль;Берлин;газета;№1464;1925;25.09;проза;отрывок;;2—3;;;Прожектор
Романов П.;Скверный товар;Руль;Берлин;газета;№1466;1925;27.09;проза;полный текст;;2—3;;;Красная новь
Романов П.;Верующие;Руль;Берлин;газета;№1546;1926;03.01;проза;полный текст;;2—3;;;Собрание сочинений Т. 1
Романов П.;Нахлебники;Руль;Берлин;газета;№1546;1926;03.01;проза;полный текст;;7;;;Сборник рассказов
Пастернак Б.Л.;Зверинец;Руль;Берлин;газета;№1546;1926;03.01;проза;полный текст;;7—8;;;Огонек
Холмский Г.К.;Циркотрюки;Руль;Берлин;газета;№1546;1926;03.01;проза;полный текст;;8;;;Крокодил
Шишков В.;Кольцо;Руль;Берлин;газета;№1550;1926;08.01;проза;отрывок;;2—3;;;Красная новь
Шишков В.;Кольцо;Руль;Берлин;газета;№1551;1926;09.01;проза;отрывок;;2—3;;;Красная новь
Селиванов А.;Петербургские разговоры;Руль;Берлин;газета;№1552;1926;10.01;проза;полный текст;;5—6;;;Красная газета
Огнев Н.;Видения;Руль;Берлин;газета;№1555;1926;14.01;проза;отрывок;;2—3;;;Красная новь
"Низовой П. 
";Лото;Руль;Берлин;газета;№1564;1926;24.01;проза;полный текст;;2—4;;;Красная Нива
Каменский В.;В деревенском театре;Руль;Берлин;газета;№1564;1926;24.01;проза;полный текст;;5;;;Жизнь искусства
Роман Р.;Жертва;Руль;Берлин;газета;№1570;1926;31.01;проза;полный текст;;5—6;;;Сборник комсомольских  юмористических рассказов
Соколов-Микитов И.;Мрак;Руль;Берлин;газета;№1574;1926;05.02;проза;полный текст;;2—3;;;Красная новь
Есенин С.А.;Черный человек;Руль;Берлин;газета;№1576;1926;07.02;стихи;полный текст;;4;;;
Зощенко М.М.;Сказки для детей;Руль;Берлин;газета;№1576;1926;07.02;проза;полный текст;;5—6;;;Юмористические рассказы
Пильняк Б.А.;Грэго-тримунтан;Руль;Берлин;газета;№1579;1926;11.02;проза;отрывок;;2—3;;;Новый мир
Пильняк Б.А.;Грэго-тримунтан;Руль;Берлин;газета;№1580;1926;12.02;проза;отрывок;;2—3;;;Новый мир
Романов П.;Разговор;Руль;Берлин;газета;№1582;1926;14.02;проза;полный текст;;4;;;Красная Нива
Зощенко М.М.;Письма в редакцию;Руль;Берлин;газета;№1582;1926;14.02;проза;полный текст;;5;;;Сборник рассказов
Лидин В.;Голубое руно;Руль;Берлин;газета;№1583;1926;16.02;проза;полный текст;;2—3;;;Огонек
Стонов Д.;Провинциальное бытие;Руль;Берлин;газета;№1587;1926;20.02;проза;полный текст;;2;;;Известия
