number ;author_in_publication;author_real_name ;text;name;city;type;political_orientation;issue ;year_publ_in_emigration;date_publ_in_emigration;taken_from;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5288;1935;15.09;;;отрывок;Лицей;6;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5295;1935;22.09;;;отрывок;Лицей;6;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5302;1935;29.09;;;отрывок;Лицей;6;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5330;1935;27.10;;;отрывок;Лицей;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5344;1935;10.11;;;отрывок;Лицей;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5351;1935;17.11;;;отрывок;Лицей;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5372;1935;08.12;;;отрывок;Лицей;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5386;1935;22.12;;;отрывок;Лицей;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5393;1935;29.12;;;отрывок;Лицей;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5400;1936;05.01;;;отрывок;Лицей;4;;;;;
;Зощенко М. М.;;Рассказ об имениннице;Последние новости;Париж;газета;;№5511;1936;25.04;;;;;5;;;;;
;Колосов А.;;Случай на лугу (советский быт) ;Последние новости;Париж;газета;;№5630;1936;23.08;;;;;6;;;Правда;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Волошин Максимилиан;;Неопалимая купина;Руль;Берлин;газета;;;1920;09.12;;стихи;;;3;;;;;
;Булгаков Михаил;;Конец белой гвардии;Книга для всех;Рига;издательство;;;1929;;;;;;;;;;;
;Булгаков Михаил;;Роковыя яйца;Литература ;Рига;издательство;;;1928;;;;;;;;;;;
;Зощенко Мих.;;Веселая жизнь ;Очарованный странник;Париж;издательство;;;1926;;;;;;;;;;;
;Зощенко Мих.;;Нервные люди;Миф;Рига;издательство;;;1928;;;;;;;;;;;
;Катаев Валентин;;Меня бабы любят ;Очарованный странник;Париж;издательство;;;1927;;;;;;;;;;;
;Леонов Л.;;Гибель Егорушки;Очарованный странник;Париж;издательство;;;1924;;;;;;;;;;;
;"Пильняк Б. А.
";;Былье;Библиофил;Равель;издательство;;;1922;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Алексеев Г. ;;Бабьи посиделки ;Книга для всех;Берлин;издательство;;№83;;;;;;;;;;;;
;Ахматова Анна;;Четки;С. Ефрон;Берлин;издательство;;;;;;;;;;;;;;
