Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Левин Б.М.;Русская литература;Советская литература;;;;Одна радость;Последние новости;Париж;Газета;№4005;10.03.1932;2;Подвал;;
Н. К—гъ;150-летие «Недоросля»;Юбилейная статья;Фонвизин;Русская литература;1/2 XIXв.;;;;Недоросль;Последние новости;Париж;Газета;№4005;10.03.1932;3;Чердак;;
Словцов Р.;Анна Жаклар;Рецензия на исследование;Книжник-Ветров И.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Корвин-Круковская А.В.;А.В. Корвин-Круковская;Последние новости;Париж;Газета;№4005;10.03.1932;3;Подвал;;
Словцов Р.;Современники о пьесах Чехова;Персональная статья;Чехов А.П.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4012;17.03.1932;3;Подвал;;
Вейдле В.;«Стефан Ротт»;Рецензия на художественную книгу;Брод М.;Немецкая литература;XXв.;;;;Стефан Ротт;Последние новости;Париж;Газета;№4012;17.03.1932;3;Чердак;;
Вейдле В.;Гете и всемирность;Юбилейная статья;Гете И.;Немецкая литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4017;22.03.1932;2;Подвал;;
Словцов Р.;Письмо к Островскому;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Островский А.Н.;Неизведанные письма к А.Н. Островскому;Последние новости;Париж;Газета;№4017;22.03.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Осоргин М.А.;Русская литература;Эмигрантская литература;;;;Свидетель истории;Последние новости;Париж;Газета;№4019;24.03.1932;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Аничков Е.В.;Русская литература;Эмигрантская литература;;;;Язычница;Последние новости;Париж;Газета;№4019;24.03.1932;2;Подвал;;
Н. К—гъ;Неизданный Некрасов;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Некрасов Н.А.;Жизнь и похождения Тихона Тросникова;Последние новости;Париж;Газета;№4019;24.03.1932;3;Чердак;;
Словцов Р.;Москва сороковых годов;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Кокорев И.Т.;Очерки Москвы сороковых годов;Последние новости;Париж;Газета;№4019;24.03.1932;3;Подвал;;
Словцов Р.;Братья Капнисты;Персональная статья;Капнисты;Русская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4024;29.03.1932;4;Подвал;;
М. Б.;Бернард Шоу в туфлях;Рецензия на исследование;Харрис Ф.;Ирландская литература;XXв.;Ирландская литература;XXв.;Шоу Б.;Bernard Shaw;Последние новости;Париж;Газета;№4026;31.03.1932;3;Чердак;;
А. Д.;Гете и толстой;Рецензия на художественную книгу;Манн Т.;Немецкая литература;XXв.;Немецкая литература;1/2 XIXв.;Гете И.;Гете и Толстой;Последние новости;Париж;Газета;№4026;31.03.1932;3;Чердак;;
А. Д.;Гете и толстой;Рецензия на художественную книгу;Манн Т.;Немецкая литература;XXв.;Русская литература;2/2 XIXв.;Толстой Л.Н.;Гете и Толстой;Последние новости;Париж;Газета;№4026;31.03.1932;3;Чердак;;
Словцов Р.;Толстой на Кавказе;Персональная статья;Толстой Л.Н.;Русская литература;2/2 XIXв.;;;;Записки;Последние новости;Париж;Газета;№4033;07.04.1932;2;Подвал;;
Вейдле В.;Испанская литература;Обзорная статья;;Испанская литература;XXв.;;;;;Последние новости;Париж;Газета;№4033;07.04.1932;3;Чердак;Испанская литература;
Георгий Адамович;О книге Лоренса;Рецензия на художественную книгу;Лоренс Д.Г.;Английская литература;XXв.;;;;Любовник Леди Чаттерлей;Последние новости;Париж;Газета;№4033;07.04.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Кнут Д.;Русская литература;Эмигрантская литература;;;;Парижские ночи;Последние новости;Париж;Газета;№4040;14.04.1932;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Мандельштам Ю.В.;Русская литература;Эмигрантская литература;;;;Верность;Последние новости;Париж;Газета;№4040;14.04.1932;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Карелин Ю.;Русская литература;Эмигрантская литература;;;;Горький цвет;Последние новости;Париж;Газета;№4040;14.04.1932;2;Подвал;;
Н. К—гъ;Путешествие в Туркменистан;Рецензия на художественную книгу;Павленко П.А.;Русская литература;Советская литература;;;;Путешествие в Туркменистан;Последние новости;Париж;Газета;№4040;14.04.1932;3;Чердак;;
Вейдле В.;Вильгельм Буш;Юбилейная статья;Буш В.;Немецкая литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4040;14.04.1932;3;Чердак;;
Словцов Р.;Литературная сатира;Обзорная статья;;Общее;Общее;;;;Эпиграмма и сатира;Последние новости;Париж;Газета;№4040;14.04.1932;3;Подвал;;
Алданов М.;Н. А. Тэффи;Рецензия на художественную книгу;Тэффи Н.А.;Русская литература;Эмигрантская литература;;;;Авантюрный роман;Последние новости;Париж;Газета;№4047;21.04.1932;3;Чердак;;
Н. К—гъ;Детские книги к празднику;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4047;21.04.1932;3;Чердак;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Пастернак Б.Л.;Русская литература;Советская литература;;;;Охранная грамота;Последние новости;Париж;Газета;№4054;28.04.1932;2;Подвал;;
А.Ч.;Морские рассказы;Рецензия на художественную книгу;Гефтер А.А.;Русская литература;Эмигрантская литература;;;;В море корабли;Последние новости;Париж;Газета;№4054;28.04.1932;3;Чердак;;
Кн. Сергей Волконский ;Тургенев по-французски;Рецензия на перевод;;Французская литература;XXв.;Русская литература;2/2 XIXв.;Тургенев И.С.;Poêmes en prose, Nouveaux poêmes en prose;Последние новости;Париж;Газета;№4054;28.04.1932;3;Чердак;;
—ъ;«Цилиндр» Джейма Бэрри;Рецензия на художественную книгу;Бэрри Д.;Английская литература;XXв.;;;;Цилиндр;Последние новости;Париж;Газета;№4054;28.04.1932;3;Чердак;;
Вейдле В.;Потерянный рай;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4063;07.05.1932;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Ладинский А.П.;Русская литература;Эмигрантская литература;;;;Северное сердце;Последние новости;Париж;Газета;№4068;12.05.1932;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Шкловский В.Б.;Русская литература;Советская литература;;;;Поиски оптимизма;Последние новости;Париж;Газета;№4068;12.05.1932;2;Подвал;;
Словцов Р.;Новое собрание сочинений Блока;Рецензия на публикацию;Блок А.А.;;;;;;;Последние новости;Париж;Газета;№4068;12.05.1932;3;Подвал;;
М. Б.;Франк Гаррис;Некролог;Харрис Ф.;Ирландская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4068;12.05.1932;3;Чердак;;
Н. К—гъ;«Сквозь ветер»;Рецензия на художественную книгу;;Русская литература;Советская литература;;;;Сквозь ветер;Последние новости;Париж;Газета;№4068;12.05.1932;3;Чердак;;
Георгий Адамович;Лукреция Сигарева;Рецензия на художественную книгу;Алексеев Г.В.;Русская литература;Советская литература;;;;Повесть о ненаписанном законе;Последние новости;Париж;Газета;№4071;15.05.1932;4;Подвал;;
Дионео;Письма В. Г. Короленко;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Короленко В.Г.;Избранные письма;Последние новости;Париж;Газета;№4072;16.05.1932;2;Подвал;;
Сазонова Ю.;Персидские сказки;Обзорная статья;;Персидская литература;Общее;;;;Шахеризада;Последние новости;Париж;Газета;№4072;16.05.1932;3;Подвал;;
Н. Кнорринг;Гете и Харьковский университет;Персональная статья;Гете И.;Немецкая литература;1/2 XIXв.;;;Шад;;Последние новости;Париж;Газета;№4075;19.05.1932;2;Подвал;;
Сазонова Ю.;Змеиный узел;Рецензия на художественную книгу;Мориак Ф.;Французская литература;XXв.;;;;Le Noeud de vipères;Последние новости;Париж;Газета;№4075;19.05.1932;3;Чердак;;
Словцов Р.;Временник друзей русской книги;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Временник Общества друзей русской книги;Последние новости;Париж;Газета;№4075;19.05.1932;3;Подвал;;
Сазонова Ю.;Жизнь сновидений;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4076;20.05.1932;2;Подвал;;
Вейдле В.;Гатем и Зюлейка;Персональная статья;Гете И.;Немецкая литература;1/2 XIXв.;Немецкая литература;2/2 XIXв.;Виллер М. фон;;Последние новости;Париж;Газета;№4079;23.05.1932;2–3;Подвал;;
Георгий Адамович;О «пафосе Москвы»;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4082;26.05.1932;2;Подвал;;
Словцов Р.;Русские сказочники;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;;;;Русская сказка;Последние новости;Париж;Газета;№4082;26.05.1932;3;Подвал;;
А.М.;Новая пьеса Гауптмана;Рецензия на художественную книгу;Гауптман Г.;Немецкая литература;XXв.;;;;Перед закатом солнца;Последние новости;Париж;Газета;№4082;26.05.1932;3;Чердак;;
Г.А.;«До-тогда-потом»;Рецензия на художественную книгу;Снесарева-Козакова Н.;Русская литература;Эмигрантская литература;;;;До-тогда-потом;Последние новости;Париж;Газета;№4082;26.05.1932;3;Чердак;;
—ъ;После роспуска РАПП-а;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4082;26.05.1932;3;Чердак;РАПП;
Сазонова Ю.;Латинский квартал;Рецензия на художественную книгу;Шампион П.;Французская литература;XXв.;;;;Mon vieux quartier;Последние новости;Париж;Газета;№4083;27.05.1932;2—3;Подвал;;
Р.С.;В лаборатории Анатоля Франса;Персональная статья;Франс А.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4084;29.05.1932;4;Чердак;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Сирин В. (Набоков В.В.);Русская литература;Эмигрантская литература;;;;Camera obsura;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Берберова Н.Н.;Русская литература;Эмигрантская литература;;;;Повелительница;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Газданов Г.И.;Русская литература;Эмигрантская литература;;;;Счастье;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Песков Г. (Дейша Е.А.);Русская литература;Эмигрантская литература;;;;Злая вечность;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Гиппиус З.Н.;Русская литература;Эмигрантская литература;;;;Над забвением;Последние новости;Париж;Газета;№4089;02.06.1932;22;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Терапиано Ю.К.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Поплавский Б.Ю.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Эйснер А.В.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Толстая А.Л.;Русская литература;Эмигрантская литература;;;;Мемуары;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Цетлин М.О.;Русская литература;Эмигрантская литература;;;;14-е декабря;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 49;Рецензия на художественную книгу;Алданов М.А.;Русская литература;Эмигрантская литература;;;Гете;К юбилею Гете;Последние новости;Париж;Газета;№4089;02.06.1932;2;Подвал;;
Ивелич;По ту сторону;Рецензия на художественную книгу;Талызин М.;Русская литература;Эмигрантская литература;;;;По ту сторону;Последние новости;Париж;Газета;№4089;02.06.1932;3;Чердак;;
Сазонова Ю.;"«Тот, через кого скандал вошел в мир» 
";Рецензия на исследование;Кассу Ж.;Французская литература;XXв.;Русская литература;1/2 XIXв.;Толстой Л.Н.;Grandeur et infamie de Tolstoi;Последние новости;Париж;Газета;№4090;03.06.1932;5;Подвал;;
Ивелич;Былины в свете антропософии;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4096;09.06.1932;3;Чердак;;
