number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
706;поэзия;Веневитинов Д.В.;Любителю музыки;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
707;поэзия;Веневитинов Д.В.;Моя молитва;;Души неведомый;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
708;поэзия;Веневитинов Д.В.;Песнь грека;;Под небом аттики;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
709;поэзия;Веневитинов Д.В.;Песнь Кольмы;Песнь Кольмы (из Оссиана) ;Ужасна ночь;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
710;поэзия;Веневитинов Д.В.;Поэт;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
711;поэзия;Веневитинов Д.В.;Поэт;;;;1849;Галахов 4 издание;;;Москва;;Галахов 4 издание__1849
712;поэзия;Веневитинов Д.В.;Поэт;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
713;поэзия;Веневитинов Д.В.;Поэт и друг;;;;1829;Золотов 1 часть;;;Москва;;Золотов 1 часть__1829
714;поэзия;Веневитинов Д.В.;Поэт и друг;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
715;поэзия;Веневитинов Д.В.;Поэт и друг;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
716;поэзия;Веневитинов Д.В.;Поэт и друг;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
717;поэзия;Веневитинов Д.В.;Поэт и друг;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
718;поэзия;Веневитинов Д.В.;Р-ну;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
719;поэзия;Веневитинов Д.В.;Р-ну;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
720;поэзия;Веневитинов Д.В.;Сонет;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
721;поэзия;Веневитинов Д.В.;Сонеты;;;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
722;поэзия;Веневитинов Д.В.;Спокойно дни мои цвели в долине жизни;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
723;поэзия;Веневитинов Д.В.;Спокойно дни мои цвели в долине жизни;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
724;поэзия;Веневитинов Д.В.;Спокойно дни мои цвели в долине жизни;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
725;поэзия;Веневитинов Д.В.;Спокойно дни мои цвели в долине жизни;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
726;поэзия;Веневитинов Д.В.;Спокойно дни мои цвели в долине жизни;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
727;поэзия;Веневитинов Д.В.;Утешение;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
728;поэзия;Вердеревский Д.Н.;К кораблю;К кораблю (из Горация);;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
729;поэзия;Вердеревский Д.Н.;Последняя песнь Оссиана;;;;1839;Рклицкий. Ч.II;3-4 кл.;;Варшава;;Рклицкий. Ч.II__1839
730;поэзия;Ветринский И.;На кончину Александра Благословенного;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
731;поэзия;Вилламов Г.И.;Ободрение;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
732;поэзия;Воейков А.Ф.;Дом сумасшедших;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
733;поэзия;Воейков А.Ф.;Из Делилевой поэмы: Сады;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
734;поэзия;Воейков А.Ф.;Из Делилевой поэмы: Сады;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
735;поэзия;Воейков А.Ф.;Из Делилевой поэмы: Сады;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
736;поэзия;Воейков А.Ф.;Искусства и Науки;Искусства и Науки (отрывок);;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
737;поэзия;Воейков А.Ф.;Искусства и Науки;Искусства и Науки (отрывок);;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
738;поэзия;Воейков А.Ф.;К Сперанскому: об истинном благородстве;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
739;поэзия;Воейков А.Ф.;О пользе искусстка и науки;О пользе искусстка и науки (отрывок);;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
740;поэзия;Воейков А.Ф.;Об истинном благородстве;;;;1829;Золотов 1 часть;;;Москва;;Золотов 1 часть__1829
741;поэзия;Воейков А.Ф.;Об истинном благородстве;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
742;поэзия;Волков;Зимою к друзьям;;С полуночи буря течет;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
743;поэзия;Волков Ю.А.;Тень высокого, старого дуба;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
744;поэзия;Востоков А.Х.;Жизнь;;;;1846;Святной Курс Первый;;;Ревель;;Святной Курс Первый__1846
745;поэзия;Востоков А.Х.;К Гарпократу;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
746;поэзия;Востоков А.Х.;К Меценату: о спокойствии духа;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
747;поэзия;Востоков А.Х.;К Теону;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
748;поэзия;Востоков А.Х.;Листопад и цветень;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
749;поэзия;Востоков А.Х.;Письмо о счастии;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
750;проза;Вучетич Н.Г.;Красный фонарь;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
751;поэзия;Вяземский П.А.;Вечер на Волге;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
752;поэзия;Вяземский П.А.;Вечер на Волге;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
753;поэзия;Вяземский П.А.;Всегда из чет;;;;1839;Рклицкий. Ч.II;3-4 кл.;;Варшава;;Рклицкий. Ч.II__1839
754;поэзия;Вяземский П.А.;Всякий на свой покрой;;Портных у нас в столице много;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
755;поэзия;Вяземский П.А.;Да, как бы не так!;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
756;поэзия;Вяземский П.А.;Да, как бы не так!;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
757;поэзия;Вяземский П.А.;Еще тройка;Тройка;"Тройка мчится, тройка скачет; / вьется пыль из-под копыт; / колокольчик звонко плачет / и хохочет, и визжит";;1895;Иманаев;;Медресе, Школы;Казань;;Иманаев__1895
758;поэзия;Вяземский П.А.;Жизнь и смерть;;Жизнь - ночь, а день наш - смерть…;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
759;поэзия;Вяземский П.А.;Жизнь и смерть;;Жизнь - ночь, а день наш - смерть…;;1846;Святной Курс Первый;;;Ревель;;Святной Курс Первый__1846
760;поэзия;Вяземский П.А.;Жизнь и смерть;;Жизнь - ночь, а день наш - смерть…;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
761;поэзия;Вяземский П.А.;Жизнь и смерть;;Жизнь - ночь, а день наш - смерть…;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
762;поэзия;Вяземский П.А.;Иерусалим;;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
763;поэзия;Вяземский П.А.;К Батюшкову;;Шумит по рощам ветр осенний;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
764;поэзия;Вяземский П.А.;К моим друзьям;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
765;поэзия;Вяземский П.А.;К моим друзьям;;;;1846;Пенинский;Нижние классы гимназии;Уездные училища, гимназии;СПб;;Пенинский__1846
766;поэзия;Вяземский П.А.;К перу моему;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
767;поэзия;Вяземский П.А.;К перу моему;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
768;поэзия;Вяземский П.А.;К перу моему;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
769;поэзия;Вяземский П.А.;К перу моему;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
770;поэзия;Вяземский П.А.;К перу моему;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
771;поэзия;Вяземский П.А.;К портрету Александра Первого;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
772;поэзия;Вяземский П.А.;К портрету Александра Первого;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
773;поэзия;Вяземский П.А.;К портрету Александра Первого;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
774;поэзия;Вяземский П.А.;К портрету Александра Первого;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
775;поэзия;Вяземский П.А.;К портрету Александра Первого;;;;1839;Рклицкий. Ч.II;3-4 кл.;;Варшава;;Рклицкий. Ч.II__1839
776;поэзия;Вяземский П.А.;К портрету Александра Первого;К портрету Императора Александра I;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
777;поэзия;Вяземский П.А.;К портрету выспреннего поэта;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
778;поэзия;Вяземский П.А.;К портрету выспреннего поэта;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
779;поэзия;Вяземский П.А.;К портрету выспренного поэта;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
780;поэзия;Вяземский П.А.;К Языкову;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
781;поэзия;Вяземский П.А.;Как брошенный погост, селом давно забытый;Степью;Где стерлись надписи, где памятники сбиты…;Проходит путник без сознанья / По этой почве без следов;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
782;поэзия;Вяземский П.А.;Как обман, как упоенье;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
783;поэзия;Вяземский П.А.;Картузов другом просвещенья;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
784;поэзия;Вяземский П.А.;Крезу;;Крез богатеет каждый год;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
785;поэзия;Вяземский П.А.;Крезу;;Крез богатеет каждый год;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
786;поэзия;Вяземский П.А.;Круговая порука;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
787;поэзия;Вяземский П.А.;Круговая порука;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
788;поэзия;Вяземский П.А.;Круговая порука;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
789;поэзия;Вяземский П.А.;Круговая порука;Круговая порука (басня);;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
790;поэзия;Вяземский П.А.;Леса;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
791;поэзия;Вяземский П.А.;Малсеница на чужой стороне;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
792;поэзия;Вяземский П.А.;Масленица на чужой стороне;;;;1860;Русская лира Нов поэты;;;СПб;;Русская лира Нов поэты__1860
793;поэзия;Вяземский П.А.;Масленица на чужой стороне;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
794;поэзия;Вяземский П.А.;Масленица на чужой стороне;;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
795;поэзия;Вяземский П.А.;Масленица на чужой стороне;Приветствие русской зиме;;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
796;поэзия;Вяземский П.А.;Масленица на чужой стороне;Русская зима;;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
797;поэзия;Вяземский П.А.;Метель;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
798;поэзия;Вяземский П.А.;На церковное строение;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
799;поэзия;Вяземский П.А.;На церковное строение;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
800;поэзия;Вяземский П.А.;Нарвский водопад;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
801;поэзия;Вяземский П.А.;Нарвский водопад;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
802;поэзия;Вяземский П.А.;Немецкая природа;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
803;проза;Вяземский П.А.;О Державине;Державин;;;1852;Галахов 5 изд часть первая;;;Москва;;Галахов 5 изд часть первая__1852
804;проза;Вяземский П.А.;О Державине;Державин;;;1819;Греч УчКнига;;;СПб;;Греч УчКнига__1819
805;проза;Вяземский П.А.;О Державине;Державин;;;1830;Чашников;;Училища, гимназии Прибалтики;СПб;;Чашников__1830
806;проза;Вяземский П.А.;О Державине;Державин;;;1833;Эртель;;;Спб;;Эртель__1833
807;проза;Вяземский П.А.;О Державине;Державин;;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
808;поэзия;Вяземский П.А.;Объясненное сомнение;;Смеяться вы властны…;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
809;поэзия;Вяземский П.А.;Объясненное сомнение;;Смеяться вы властны…;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
810;поэзия;Вяземский П.А.;Объясненное сомнение;;Смеяться вы властны…;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
811;поэзия;Вяземский П.А.;Объясненное сомнение;;Смеяться вы властны…;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
812;поэзия;Вяземский П.А.;Очерки Москвы;;Священны, о москва, преданья ;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
813;поэзия;Вяземский П.А.;Первый снег;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
814;поэзия;Вяземский П.А.;Песнь на взятие Парижа;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
815;поэзия;Вяземский П.А.;Плач и утешение;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
816;поэзия;Вяземский П.А.;По мне он просто скучный враль;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
817;поэзия;Вяземский П.А.;Послание к И.И. Дмитриеву, приславшему…;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
818;поэзия;Вяземский П.А.;Послание к И.И. Дмитриеву, приславшему…;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
819;поэзия;Вяземский П.А.;Послание к И.И. Дмитриеву, приславшему…;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
820;поэзия;Вяземский П.А.;Послание к И.И. Дмитриеву, приславшему…;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
821;поэзия;Вяземский П.А.;Послание к М.Т. Каченовскому;К Каченовскому;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
822;поэзия;Вяземский П.А.;Русские проселки;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
823;поэзия;Вяземский П.А.;Русские проселки;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
824;поэзия;Вяземский П.А.;Русский пленник в стенах Парижа;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
825;поэзия;Вяземский П.А.;С какою легкостью свободной;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
826;поэзия;Вяземский П.А.;Святая Русь!;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
827;поэзия;Вяземский П.А.;Сельская церковь;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
828;поэзия;Вяземский П.А.;Сельская церковь;;;;1885;Сосницкий Теор лит;Старшие классы;СУЗ;Москва;;Сосницкий Теор лит__1885
829;поэзия;Вяземский П.А.;Сельская церковь;Сельский храм;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
830;поэзия;Вяземский П.А.;Слезы;;Сколько слез я пролил;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
831;поэзия;Вяземский П.А.;Слово примиренья;Слово примиренья (1860);;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
832;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
833;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
834;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
835;поэзия;Вяземский П.А.;Станция;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
836;поэзия;Вяземский П.А.;Старая записная книжка;Ловкий ответ;Известно, что в старые годы, в конце прошлого столетия, гостеприимство наших бар доходило до баснасловных пределов;"Доволен, Ваше Сиятельство"", отвечал он с низким поклоном: ""все было мне видно""";1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
837;поэзия;Вяземский П.А.;Старая записная книжка;Невзыскательность;Генерал милорадович, известный герой отечественной войны, был обыкновенно невзыскателен…;завернется в нее и тут же заснет богатырским сном;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
838;поэзия;Вяземский П.А.;Старое поколение;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
839;поэзия;Вяземский П.А.;Старое поколение;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
840;поэзия;Вяземский П.А.;Старое поколение;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
841;поэзия;Вяземский П.А.;У страха глаза велики;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
842;поэзия;Вяземский П.А.;У страха глаза велики;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
843;поэзия;Вяземский П.А.;У страха глаза велики;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
844;поэзия;Вяземский П.А.;У страха глаза велики;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
845;поэзия;Вяземский П.А.;У страха глаза велики;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
846;поэзия;Вяземский П.А.;У страха глаза велики;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
847;проза;Вяземский П.А.;Фонвизин;;;;1852;Галахов 5 изд часть первая;;;Москва;;Галахов 5 изд часть первая__1852
848;проза;Вяземский П.А.;Фонвизин;;;;1866;Галахов 11 изд Том первый;;;СПб;;Галахов 11 изд Том первый__1866
849;проза;Вяземский П.А.;Фонвизин;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
850;поэзия;Вяземский П.А.;Церкованя молитва;;Вот мирная семья смиренных поселян;;1904;Шафров Хрест 1 часть;Третий отдел;Городские училища;Москва;;Шафров Хрест 1 часть__1904
851;поэзия;Вяземский П.А.;Человек и мотылек;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
852;поэзия;Вяземский П.А.;Человек и мотылек;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
853;поэзия;Вяземский П.А.;Человек и мотылек;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
854;поэзия;Вяземский П.А.;Чертог твой вижу, Спасе мой;Молитва;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
855;поэзия;Вяземский П.А.;Крезу;;Крез богатеет каждый год;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
856;поэзия;Вяземский П.А.;Крезу;;Крез богатеет каждый год;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
857;поэзия;Вяземский П.А.;Масленица на чужой стороне;Русская зима;;;1883;Нигголь;;Гимназии;Дерпт;;Нигголь__1883
858;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
859;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
860;поэзия;Вяземский П.А.;Смерть жатву жизни косит;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
861;поэзия;Вяземский П.А.;К портрету выспренного поэта;К портрету выспреннего стихотворца;;;1853;Галахов. Ч. II. Поэзия;;;Москва;"подп. ""В""";Галахов. Ч. II. Поэзия__1853
862;поэзия;Вяземский П.А.;К портрету выспренного поэта;К портрету выспреннего стихотворца;;;1859;Галахов. Ч. II.;;;Москва;"подп. ""В""";Галахов. Ч. II.__1859
863;поэзия;Вяземский П.А.;Объясненное сомнение;;Смеяться вы властны…;;1859;Галахов. Ч. II.;;;Москва;"подп. ""В""";Галахов. Ч. II.__1859
864;проза;Гарин-Михайловский Н.Г.;Детство Темы;Шалость Темы;Вот парадные двери;мирится с упреками;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
865;проза;Гарин-Михайловский Н.Г.;Детство Темы;Старый колодезь;Ночь. Тема спит неровно;пришел в себя;1909;Гусева Родн Нива 7 изд;;;СПб;;Гусева Родн Нива 7 изд__1909
866;проза;Гаршин В.М.;Денщик и офицер;Забрили;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
867;проза;Гаршин В.М.;Из записок рядового Иванова…;Из воспоминаний рядового;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
868;проза;Гаршин В.М.;Из записок рядового Иванова…;Из записок рядового о походе 1877;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
869;проза;Гаршин В.М.;Лягушка путешественница;;;;1908;Острем;;;Гельсингфорс;;Острем__1908
870;проза;Гаршин В.М.;Лягушка-путешественница;;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
871;проза;Гаршин В.М.;Лягушка-путешественница;;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
872;проза;Гаршин В.М.;Медведи;Поездка в цыганский табор;Цыгане совершали свой обычный поход;;1903;Воскресенский Хрест 6 изд;;Начальные училища, СУЗ;СПб;;Воскресенский Хрест 6 изд__1903
873;проза;Гаршин В.М.;Медведи;Старик-цыган и его медведь;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
874;проза;Гаршин В.М.;Сигнал;;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
875;проза;Гаршин В.М.;Сигнал;Железнодорожный сторож;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
876;проза;Гаршин В.М.;Сказка о жабе и розе;;;;1908;Острем;;;Гельсингфорс;;Острем__1908
877;проза;Гаршин В.М.;Четыре дня;;;;1908;Острем;;;Гельсингфорс;;Острем__1908
878;поэзия;Гербель Н.В.;Прохожий;;;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
879;поэзия;Глебов А.Н.;Неразлучность;Неразлучность (Из Гете);;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
880;поэзия;Глебов А.Н.;Потухла денница;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
881;поэзия;Глинка Ф.Н.;Постояльцы;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
882;поэзия;Глинка А.П.;Песнь о колоколе;Песнь о колоколе (из Шиллера);;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
883;проза;Глинка С.Н.;Вступление в Русский Вестник;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
884;проза;Глинка С.Н.;Записки о 1812 г.;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
885;поэзия;Глинка Ф.Н.;Бедность и труд;;;;1829;Золотов 1 часть;;;Москва;;Золотов 1 часть__1829
886;поэзия;Глинка Ф.Н.;Бедность и труд;;;;1857;Черешевич;;;Ревель;;Черешевич__1857
887;поэзия;Глинка Ф.Н.;Бедность и труд;Бедность и труд (народная сказка);;;1843;Галахов КнДлПервЧТ;;;Москва;;Галахов КнДлПервЧТ__1843
