;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
1051;Григорьев С.;Лестница любви;Руль;Берлин;газета;№2133;03.12.1927;проза;отрывок;;2—3;Сборник рассказов;
1052;Лебедев В.;Бидон;Руль;Берлин;газета;№2134;04.12.1927;проза;полный текст;;8;;
1053;Лидин В.;Трудный день;Руль;Берлин;газета;№2135;06.12.1927;проза;полный текст;;2—3;Огонек;
1054;Пильняк Б.А.;Целая жизнь;Руль;Берлин;газета;№2137;08.12.1927;проза;отрывок;;2—3;Сборник рассказов;
1055;Пильняк Б.А.;Целая жизнь;Руль;Берлин;газета;№2138;09.12.1927;проза;отрывок;;2—3;Сборник рассказов;
1056;Сергеев-Ценский С.Н.;Печаль полей;Руль;Берлин;газета;№2139;10.12.1927;проза;отрывок;;2—3;Сборник рассказов;
1057;Каменский В.;Море меняет цвет;Руль;Берлин;газета;№2141;13.12.1927;проза;полный текст;;2—3;Огонек;
1058;Вересаев В.;Семейный роман;Руль;Берлин;газета;№2149;22.12.1927;проза;полный текст;;2—3;Красная новь;
1059;Никитин Н.;Осень;Руль;Берлин;газета;№2150;23.12.1927;проза;полный текст;;2—3;Красная новь;
1060;Форш О.Д.;Башня;Руль;Берлин;газета;№2151;24.12.1927;проза;полный текст;;2—3;Сборник рассказов;
1061;Формозов А.Н.;Дзэрэны;Руль;Берлин;газета;№2152;25.12.1927;проза;полный текст;;7;Сборник рассказов;
1062;Вишня О.;Украинизация;Руль;Берлин;газета;№2155;30.12.1927;драма;отрывок;;2;Сборник рассказов;
1063;Лазарев В.;Ручной голубь;Руль;Берлин;газета;№2156;31.12.1927;проза;полный текст;;2;Красная новь;
1064;Вишня О.;Украинизация;Руль;Берлин;газета;№2156;31.12.1927;драма;отрывок;;3;Сборник рассказов;
1065;Романов П.;Арабская сказка;Руль;Берлин;газета;№2157;01.01.1928;проза;отрывок;;2—3;;
1066;Молчанов И.;Между двумя семафорами;Руль;Берлин;газета;№2157;01.01.1928;проза;отрывок;Спектакль;9;Красная газета;
1067;Романов П.;Арабская сказка;Руль;Берлин;газета;№2158;03.01.1928;проза;отрывок;;2—3;;
1068;Романов П.;Арабская сказка;Руль;Берлин;газета;№2160;05.01.1928;проза;отрывок;;2—3;;
1069;Яковлев А.;Китайская ваза;Руль;Берлин;газета;№2163;08.01.1928;проза;полный текст;;2—4;Красная новь;
1070;Подъячев С.П.;Старый «партейный» ;Руль;Берлин;газета;№2163;08.01.1928;проза;полный текст;;8;Красная новь;
1071;Вересаев В.;Детские рассказы;Руль;Берлин;газета;№2164;10.01.1928;проза;отрывок;;2—3;Сборник рассказов;
1072;Вересаев В.;Детские рассказы;Руль;Берлин;газета;№2166;12.01.1928;проза;отрывок;;2—3;Красная новь;
1073;Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2168;14.01.1928;проза;отрывок;;2—3;;
1074;Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2172;19.01.1928;проза;отрывок;;2—3;;
1075;Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2173;20.01.1928;проза;отрывок;;2—3;;
1076;Свэн И.;Хороший знакомый;Руль;Берлин;газета;№2175;22.01.1928;проза;полный текст;;7;Правда;
1077;Свэн И.;Советы молодым художникам;Руль;Берлин;газета;№2177;25.01.1928;проза;полный текст;;6;Сборник рассказов;
1078;Толстой А.Н.;Разговор на балконе;Руль;Берлин;газета;№2178;26.01.1928;проза;полный текст;;2—3;;10.12.1927
1079;Яковлев А.;Ради любви;Руль;Берлин;газета;№2179;27.01.1928;проза;отрывок;;2—3;;
1080;Яковлев А.;Ради любви;Руль;Берлин;газета;№2180;28.01.1928;проза;отрывок;;2—3;;
1081;Озаровская О.;Фантазия конопатчика Мухи;Руль;Берлин;газета;№2181;29.01.1928;проза;полный текст;;7;Правда;
1082;Яковлев А.;Ради любви;Руль;Берлин;газета;№2182;31.01.1928;проза;отрывок;;2;;
1083;Лидин В.;Обычай ветра;Руль;Берлин;газета;№2184;02.02.1928;проза;полный текст;;2—3;Красная новь;11.1927
1084;Пильняк Б.А.;Лорд Байрон;Руль;Берлин;газета;№2187;05.02.1928;проза;отрывок;;2—3;;
1084;Павленко П.;Лорд Байрон;Руль;Берлин;газета;№2187;05.02.1928;проза;отрывок;;2—3;;
1085;Уткин И.;По кухне и счастье усвоено;Руль;Берлин;газета;№2187;05.02.1928;стихи;отрывок;Из второй книги стихов;8;Красная новь;
1086;Пильняк Б.А.;Лорд Байрон;Руль;Берлин;газета;№2188;07.02.1928;проза;отрывок;;2;;
; Павленко П.;Лорд Байрон;Руль;Берлин;газета;№2188;07.02.1928;проза;отрывок;;2;;
1087;Завалишин П.;Семейная радость;Руль;Берлин;газета;№2189;08.02.1928;проза;полный текст;;6;;
1088;Завалишин П.;Расписались;Руль;Берлин;газета;№2191;10.02.1928;проза;полный текст;;2—3;;
1089;Инбер В.;Текстильмечта;Руль;Берлин;газета;№2193;12.02.1928;проза;полный текст;;6;Правда;
1090;Тренев К.;В мертвый час;Руль;Берлин;газета;№2194;13.02.1928;проза;полный текст;;2—3;Красная новь;
1091;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2198;18.02.1928;проза;отрывок;;2—3;Красная новь;
1092;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2199;19.02.1928;проза;отрывок;;5—6;Красная новь;
1093;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2200;21.02.1928;проза;отрывок;;2—3;Красная новь;
1094;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2201;22.02.1928;проза;отрывок;;5—6;Красная новь;
1095;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2202;23.02.1928;проза;отрывок;;2—3;Красная новь;
1096;Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2203;24.02.1928;проза;отрывок;;2—3;Красная новь;
1097;Резаль Т.;Шелк;Руль;Берлин;газета;№2205;26.02.1928;проза;полный текст;;8;КР. П.;
1098;Лидин В.;Приморская тишина;Руль;Берлин;газета;№2206;28.02.1928;проза;полный текст;;2—3;Правда;09.1927
1099;Пильняк Б.А.;Мальчик из Тралл;Руль;Берлин;газета;№2210;03.03.1928;проза;полный текст;;2—3;Красная новь;
1100;Романов П.;Дым;Руль;Берлин;газета;№2211;04.03.1928;проза;полный текст;;7—8;Сборник рассказов;
1101;Крутиков Д.;Кудеяров Вир;Руль;Берлин;газета;№2212;06.03.1928;проза;отрывок;Леон;2—3;;
1102;Крутиков Д.;Кудеяров Вир;Руль;Берлин;газета;№2213;07.03.1928;проза;отрывок;Леон;5—6;;
1103;Пришвин М.;Сыр;Руль;Берлин;газета;№2217;10.03.1928;проза;полный текст;;2—3;Сборник рассказов;
1104;Романов П.;Опять на нашу голову;Руль;Берлин;газета;№2217;11.03.1928;проза;полный текст;;7—8;Сборник рассказов;
1105;Сергеев-Ценский С.Н.;Снег;Руль;Берлин;газета;№2219;14.03.1928;проза;полный текст;;6;;
1106;Павленко П.;Мастера Эйюба;Руль;Берлин;газета;№2222;17.03.1928;проза;отрывок;;2—3;Правда;
1107;Лидин В.;Отец;Руль;Берлин;газета;№2223;18.03.1928;проза;полный текст;;2—4;Красная новь;
1108;Павленко П.;Мастера Эйюба;Руль;Берлин;газета;№2223;19.03.1928;проза;отрывок;;6;Правда;
1109;Романов П.;Один час;Руль;Берлин;газета;№2225;21.03.1928;проза;отрывок;;6;;
1110;Романов П.;Один час;Руль;Берлин;газета;№2226;22.03.1928;проза;отрывок;;2—3;;
1111;Пришвин М.;Любовь по воздуху;Руль;Берлин;газета;№2227;23.03.1928;проза;полный текст;;2—3;Красная новь;
1112;Борисов Л.;2 Леонарди 2;Руль;Берлин;газета;№2229;25.03.1928;проза;полный текст;;7—8;Красная газета;
1113;Подъячев С.П.;Для хорошего человека;Руль;Берлин;газета;№2231;28.03.1928;проза;полный текст;;2—3;Правда;
1114;Пильняк Б.А.;Под водой;Руль;Берлин;газета;№2232;29.03.1928;проза;полный текст;;2—3;;
1115;Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2233;30.03.1928;проза;отрывок;;2—3;Новый мир;
1116;Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2234;31.03.1928;проза;отрывок;;2;Новый мир;
1117;Ширяев П.;Четверг Наташиной жизни;Руль;Берлин;газета;№2236;03.04.1928;проза;отрывок;;2—3;Новый мир;
1118;Ширяев П.;Четверг Наташиной жизни;Руль;Берлин;газета;№2238;05.04.1928;проза;отрывок;;2—3;Новый мир;
1119;Пильняк Б.А.;Могильные памяти;Руль;Берлин;газета;№2240;08.04.1928;проза;полный текст;;5—6;Красная новь;02.1928
1120;Дынник В.;Певица из Першлахты;Руль;Берлин;газета;№2241;11.04.1928;проза;полный текст;;5—6;Красная новь;
1121;Подъячев С.П.;Сынок;Руль;Берлин;газета;№2244;14.04.1928;проза;полный текст;;2—3;Правда;
1122;Ильина В.;Морская живопись;Руль;Берлин;газета;№2245;15.04.1928;стихи;полный текст;;8;;
1123;Наседкин В.;Вьюга ;Руль;Берлин;газета;№2245;15.04.1928;стихи;полный текст;;8;;
1124;Лидин В.;Младость;Руль;Берлин;газета;№2248;19.04.1928;проза;отрывок;;2—3;;
1125;Лидин В.;Младость;Руль;Берлин;газета;№2249;20.04.1928;проза;отрывок;;2—4;;
1126;Лидин В.;Младость;Руль;Берлин;газета;№2250;21.04.1928;проза;отрывок;;2—3;;
1127;Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2251;22.04.1928;проза;отрывок;;3—4;Красная новь;
1128;Борисоглебский М.;Кальва;Руль;Берлин;газета;№2251;22.04.1928;проза;отрывок;Ригле;8—9;Красная газета;
1129;Пришвин М.;Слуга времени;Руль;Берлин;газета;№2252;24.04.1928;проза;полный текст;;2—3;Сборник рассказов;
1130;Фурманов Д.;Открытие дома;Руль;Берлин;газета;№2254;26.04.1928;проза;полный текст;;2—3;Сборник рассказов;
1131;Пильняк Б.А.;Кафеджи Абдула-Гамида Второго;Руль;Берлин;газета;№2255;27.04.1928;проза;полный текст;;2—3;;
1132;Яковлев А.;Страхи;Руль;Берлин;газета;№2256;28.04.1928;проза;полный текст;;2—3;Сборник рассказов;
1133;Лесная Л.;Случай с литераторами;Руль;Берлин;газета;№2257;29.04.1928;проза;полный текст;;8;К.П.;
1134;Марич М.;Северное сияние;Руль;Берлин;газета;№2260;04.05.1928;проза;отрывок;Пожар в ночи;2—4;Правда;
1135;Полетик Ю.;Листки;Руль;Берлин;газета;№2268;13.05.1928;проза;полный текст;;7—8;К.П.;
1136;Яковлев А.;Кто виноват?;Руль;Берлин;газета;№2271;17.05.1928;проза;полный текст;;2—3;Сборник рассказов;
1137;Аграновский А.;В Сибирской глуши;Руль;Берлин;газета;№2271;17.05.1928;проза;полный текст;;4;Правда;
1138;Новиков-Прибой Л.;Под страхом ожидания;Руль;Берлин;газета;№2276;24.05.1928;проза;полный текст;;2—3;Красная новь;
1139;Ширяев П.;Оска;Руль;Берлин;газета;№2278;26.05.1928;проза;полный текст;;2—3;Красная новь;
1140;Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2279;27.05.1928;проза;отрывок;;7—8;Новый мир;
1141;Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2284;03.06.1928;проза;отрывок;;7—8;Новый мир;
1142;Пришвин М.;Молоко от козла;Руль;Берлин;газета;№2287;07.06.1928;проза;полный текст;;2—3;;
1143;Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2290;10.06.1928;проза;отрывок;;7—8;Сборник рассказов;
1144;Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2291;12.06.1928;проза;отрывок;;2—3;Сборник рассказов;
1145;Буданцев С.;Екатеринослав;Руль;Берлин;газета;№2295;16.06.1928;проза;полный текст;;2—3;Новый мир;
1146;Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2296;17.06.1928;проза;отрывок;;7—8;Сборник рассказов;1926
1147;Алексеев Г.;Приключение Карола Земиша;Руль;Берлин;газета;№2297;19.06.1928;проза;полный текст;;2—3;Сборник рассказов;
1148;Пришвин М.;Маралова гать;Руль;Берлин;газета;№2299;21.06.1928;проза;полный текст;;2;;
1149;Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2300;22.06.1928;проза;отрывок;;2—3;Новый мир;
1150;Четвериков С.;Борьба за мужчину;Руль;Берлин;газета;№2301;23.06.1928;проза;отрывок;Сытые дни;2—3;К.П.;
1151;Попов Ю.;В китайском театре;Руль;Берлин;газета;№2302;24.06.1928;проза;полный текст;;7—8;К.П.;
1152;Ардов В.;Сцена и жизнь;Руль;Берлин;газета;№2302;24.06.1928;проза;полный текст;;8;Огонек;
1153;Замятин Е.И.;Десятиминутная драма;Руль;Берлин;газета;№2303;26.06.1928;проза;полный текст;;2;Гул Земли;
1154;Ласковая Ф.;О любви;Руль;Берлин;газета;№2308;01.07.1928;проза;полный текст;;7—8;Правда;
1155;Федорович В.;Нивесть что;Руль;Берлин;газета;№2311;05.07.1928;проза;полный текст;;2—3;К.П.;
1156;Козырев М.;Доберман;Руль;Берлин;газета;№2314;08.07.1928;проза;полный текст;;7—8;Красная новь;
1157;Стонов Д.;Башмачки;Руль;Берлин;газета;№2315;10.07.1928;проза;полный текст;;2—3;К.П.;
1158;Маяковский В.В.;«Общее» и «мое»;Руль;Берлин;газета;№2316;11.07.1928;стихи;полный текст;;6;К.П.;
1159;Зорич А.;Проба карандаша;Руль;Берлин;газета;№2320;15.07.1928;проза;полный текст;;8;Правда;
1160;Кутуй Г.;Старый пильщик;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1161;Акопян А.;Песнь труда;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1162;Каладзе К.;Мхедрули;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1163;Джансугуров И.;Шаги трех союзников;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1164;Герд К.;Удмурт;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1165;Юлтый Д.;Наши дни;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1166;Лыткин В.;Родная страна;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1167;Чавайн С.;Открытие области Мари;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;7;;
1168;Акбаев Р.;Песнь серпа;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;8;;
1169;Чекес С.;Пастух;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;8;;
1170;Сосюра В.;О, не напрасно, нет, в степях гремели пушки;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;8;;
1171;Дубовка В.;Поступь твердая, смелый взгляд;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;8;;
1172;Рустем Задэ Сулейман;В кузнице;Руль;Берлин;газета;№2320;15.07.1928;стихи;полный текст;;8;;
1173;Жаров А.;Новый мещанин;Руль;Берлин;газета;№2322;18.07.1928;стихи;полный текст;;6;Правда;
1174;Лидин В.;Золото;Руль;Берлин;газета;№2323;19.07.1928;проза;полный текст;;2—3;Известия;
1175;Ларионов Н.;Горячая земля;Руль;Берлин;газета;№2325;21.07.1928;проза;полный текст;;2—3;Красная новь;
1176;Павлов В.;За что боролись?;Руль;Берлин;газета;№2326;22.07.1928;проза;полный текст;;7—8;Сборник рассказов;
1177;Пасынков Л.;По хуторам коневодов;Руль;Берлин;газета;№2327;24.07.1928;проза;полный текст;;2—3;Красная газета;
1178;Маяковский В.В.;Дом Герцена;Руль;Берлин;газета;№2328;25.07.1928;стихи;полный текст;;6;;
1179;Зощенко М.М.;Мелкое происшествие;Руль;Берлин;газета;№2330;27.07.1928;проза;полный текст;;4;Сборник рассказов;
1180;Вересаев В.;Случай;Руль;Берлин;газета;№2335;02.08.1928;проза;полный текст;;2;Сборник рассказов;
1181;Уткин И.;Шесть глав;Руль;Берлин;газета;№2338;05.08.1928;стихи;полный текст;;7—8;У;07.1928
1182;Козаков М.;Именины;Руль;Берлин;газета;№2340;08.08.1928;проза;полный текст;;5;;
1183;Романов П.;Голубое платье;Руль;Берлин;газета;№2343;11.08.1928;проза;отрывок;;2—3;;
1184;Романов П.;Голубое платье;Руль;Берлин;газета;№2344;12.08.1928;проза;отрывок;;4;;
1185;Романов П.;Легкая служба;Руль;Берлин;газета;№2346;15.08.1928;проза;полный текст;;5;Красная новь;
1186;Сергеев-Ценский С.Н.;Прах Аджи-Османа;Руль;Берлин;газета;№2349;18.08.1928;проза;отрывок;;2—3;;
1187;Яковлев А.;Мужик;Руль;Берлин;газета;№2350;19.08.1928;проза;полный текст;;7—8;;
1188;Сергеев-Ценский С.Н.;Прах Аджи-Османа;Руль;Берлин;газета;№2351;21.08.1928;проза;отрывок;;2—3;Красная новь;
1189;Павлов В.;Стойкая борьба;Руль;Берлин;газета;№2352;22.08.1928;проза;полный текст;;5;Сборник рассказов;
1190;Зощенко М.М.;Не все потеряно;Руль;Берлин;газета;№2356;26.08.1928;проза;полный текст;;7—8;;
1191;Вересаев В.;За гранью;Руль;Берлин;газета;№2359;30.08.1928;проза;полный текст;;2—3;;
1192;Туманяк О.;Каменная баня;Руль;Берлин;газета;№2362;02.09.1928;проза;полный текст;;5;Прожектор;
1193;Доржелес Р.;У бедуинов;Руль;Берлин;газета;№2362;02.09.1928;проза;полный текст;;7—8;Красная новь;
1194;Голлербах Э.;По земле Новгородской;Руль;Берлин;газета;№2365;06.09.1928;проза;полный текст;;2;Красная газета;
1195;Инбер В.;Не плачь, Нинель;Руль;Берлин;газета;№2371;13.09.1928;проза;полный текст;;2—3;Правда;
1196;Леонов Л.;Месть;Руль;Берлин;газета;№2372;14.09.1928;проза;полный текст;;2—3;Красная новь;
1197;Леонов Л.;Месть;Руль;Берлин;газета;№2373;15.09.1928;проза;полный текст;;2;Красная новь;
1198;Ширяев П.;Последная ревизия;Руль;Берлин;газета;№2380;23.09.1928;проза;полный текст;;7—8;Красная новь;
1199;Пришвин М.;Журавлиная родина;Руль;Берлин;газета;№2385;29.09.1928;проза;отрывок;Маралово;2—3;Красная новь;
1200;Зощенко М.М.;Баретки;Руль;Берлин;газета;№2386;30.09.1928;проза;полный текст;;7—8;Сборник рассказов;
1201;Есенин С.А.;Я одежу тебя побирушкой;Руль;Берлин;газета;№2386;30.09.1928;стихи;полный текст;;7;В.М.;20.03.1925
1202;Алексеев Г.;Шкап;Руль;Берлин;газета;№2392;07.10.1928;проза;полный текст;;7—8;Красная новь;
1203;Пришвин М.;Кость;Руль;Берлин;газета;№2393;09.10.1928;проза;полный текст;;2—3;;
1204;Вересаев В.;У черного крыльца;Руль;Берлин;газета;№2395;11.10.1928;проза;полный текст;;2—3;Сборник рассказов;
1205;Сергеев-Ценский С.Н.;Полубог;Руль;Берлин;газета;№2397;13.10.1928;проза;полный текст;;2;;
1206;Сергеев-Ценский С.Н.;Четыре подковы;Руль;Берлин;газета;№2397;13.10.1928;проза;полный текст;;2;;
1207;Грин А.С.;Гнев отца;Руль;Берлин;газета;№2404;21.10.1928;проза;полный текст;;5—6;Красная Н;
1208;Алексеев Г.;Полет;Руль;Берлин;газета;№2409;27.10.1928;проза;полный текст;;2—3;Известия;
1209;Асеев Н.;Старый быт—бить;Руль;Берлин;газета;№2416;04.11.1928;проза;полный текст;;8;;
1210;Уткин И.;В Туле, близ Кишинева;Руль;Берлин;газета;№2416;04.11.1928;проза;полный текст;;8;;
1211;Казин В.;Признание;Руль;Берлин;газета;№2416;04.11.1928;проза;полный текст;;8;;
1212;Вересаев В.;У дервишей;Руль;Берлин;газета;№2417;05.11.1928;проза;полный текст;;2;;
1213;Сергеев-Ценский С.Н.;Дети;Руль;Берлин;газета;№2425;15.11.1928;проза;полный текст;;2;;
1214;Пришвин М.;Маленькие рассказы;Руль;Берлин;газета;№2427;17.11.1928;проза;отрывок;Дрова;2;;
1215;Пришвин М.;Маленькие рассказы;Руль;Берлин;газета;№2427;17.11.1928;проза;отрывок;Книга хорошого Обращения;2;;
1216;Буданцев С.;Общежитие на Плющихе;Руль;Берлин;газета;№2428;18.11.1928;проза;полный текст;;7—8;Правда;
1217;Подъячев С.П.;Критик;Руль;Берлин;газета;№2429;20.11.1928;проза;полный текст;;2;Правда;
1218;Огнев Н.;Тайные общества;Руль;Берлин;газета;№2431;23.11.1928;проза;отрывок;;4—5;;
1219;Пришвин М.;Рассказ егеря;Руль;Берлин;газета;№2436;29.11.1928;проза;отрывок;Двойной след;2—3;Красная новь;
1220;Яковлев А.;Легенда;Руль;Берлин;газета;№2439;02.12.1928;проза;полный текст;;2—3;Красная новь;
1221;Инбер В.;Место под солнцем;Руль;Берлин;газета;№2439;02.12.1928;проза;полный текст;;9—10;;
1222;Павленко П.;Ковер;Руль;Берлин;газета;№2440;04.12.1928;проза;полный текст;;2—3;Новый мир;
1223;Сергеева Е.;Уроки жизни;Руль;Берлин;газета;№2442;06.12.1928;проза;полный текст;;2—3;Правда;
1224;Гаузнер Г.;Гинчвишский лес;Руль;Берлин;газета;№2445;09.12.1928;проза;полный текст;;7—8;Новый мир;1927
1225;Яковлев А.;Благополучие;Руль;Берлин;газета;№2446;11.12.1928;проза;отрывок;;2—3;Новый мир;
1226;Яковлев А.;Благополучие;Руль;Берлин;газета;№2448;13.12.1928;проза;отрывок;;2—3;;
1227;Подъячев С.П.;Преставился;Руль;Берлин;газета;№2451;16.12.1928;проза;полный текст;;4;Красная новь;
1228;Правдухин В.;На медведей;Руль;Берлин;газета;№2451;16.12.1928;проза;отрывок;;5—6;Правда;
1229;Правдухин В.;На медведей;Руль;Берлин;газета;№2452;18.12.1928;проза;отрывок;;2—3;Правда;
1230;Шкапская М.;Полет моего шарфа;Руль;Берлин;газета;№2456;22.12.1928;проза;полный текст;;2—3;Огонек;
1231;Чуковский К.И.;Детское;Руль;Берлин;газета;№2462;01.01.1929;проза;полный текст;;5;Красная газета;
1232;Акульшин Р.;Гнедой околел;Руль;Берлин;газета;№2466;06.01.1929;проза;полный текст;;7—8;;
1233;Пришвин М.;Рассказы;Руль;Берлин;газета;№2467;08.01.1929;проза;отрывок;Моральный человек;2;Новый мир;
1234;Пришвин М.;Рассказы;Руль;Берлин;газета;№2467;08.01.1929;проза;отрывок;Папаня;2—3;Новый мир;
1235;Пришвин М.;Рассказы;Руль;Берлин;газета;№2467;08.01.1929;проза;отрывок;Пойма;2—3;Новый мир;
1236;Пильняк Б.А.;Че-че-о;Руль;Берлин;газета;№2469;10.01.1929;проза;отрывок;;2—3;Новый мир;
;Платонов А.;Че-че-о;Руль;Берлин;газета;№2469;10.01.1929;проза;отрывок;;2–3;;
1237;Пильняк Б.А.;Че-че-о;Руль;Берлин;газета;№2470;11.01.1929;проза;отрывок;;2;Новый мир;
;Платонов А.;Че-че-о;Руль;Берлин;газета;№2470;11.01.1929;проза;отрывок;;2;;
1238;Пильняк Б.А.;Че-че-о;Руль;Берлин;газета;№2471;12.01.1929;проза;отрывок;;2—3;Новый мир;
;Платонов А.;Че-че-о;Руль;Берлин;газета;№2471;12.01.1929;проза;отрывок;;2—3;;
1239;Алексеев Г.;Человек и его дело;Руль;Берлин;газета;№2472;13.01.1929;проза;полный текст;;7—8;Новый мир;
1240;Пришвин М.;Белая собака;Руль;Берлин;газета;№2477;19.01.1929;проза;полный текст;;2—3;Огонек;
1241;Чуковский К.И.;Колотки и копатки;Руль;Берлин;газета;№2490;03.02.1929;проза;полный текст;;2—3;;
1242;Бессонов Н.;Баран на бойне;Руль;Берлин;газета;№2494;08.02.1929;проза;полный текст;;2;К П;
1243;Шагинян М.С.;Змеиная женщина;Руль;Берлин;газета;№2496;10.02.1929;проза;полный текст;;7—8;Огонек;
1244;Ширяев П.;Двое;Руль;Берлин;газета;№2506;22.02.1929;проза;полный текст;;2—3;;
1245;Толстой А.Н.;Мой сосед;Руль;Берлин;газета;№2508;24.02.1929;проза;полный текст;;2—3;Огонек;
1246;Шишков В.;Зверолов;Руль;Берлин;газета;№2515;03.03.1929;проза;полный текст;;2—3;;
1247;Яковлев А.;Птицы в Арктике;Руль;Берлин;газета;№2515;03.03.1929;проза;полный текст;;7—8;;
1248;Сергеева Е.;Хорошая партия;Руль;Берлин;газета;№2521;12.03.1929;проза;полный текст;;2;Правда;
1249;Пришвин М.;Старухина тропа;Руль;Берлин;газета;№2523;14.03.1929;проза;полный текст;;2;Сборник рассказов;
1250;Алексеев Г.;Приданое;Руль;Берлин;газета;№2526;17.03.1929;проза;полный текст;;7—8;;
1251;Зорич А.;Шутка;Руль;Берлин;газета;№2533;26.03.1929;проза;полный текст;;2—3;Правда;
1252;Пильняк Б.А.;Северное сияние;Руль;Берлин;газета;№2537;31.03.1929;проза;полный текст;;7;Правда;
1253;Лидин В.;Искатели;Руль;Берлин;газета;№2542;07.04.1929;проза;отрывок;Париж;7—8;Красная новь;
1254;Пришвин М.;Русская весна;Руль;Берлин;газета;№2558;26.04.1929;проза;отрывок;Прилет зябликов;3;Красная новь;
1255;Пришвин М.;Русская весна;Руль;Берлин;газета;№2558;26.04.1929;проза;отрывок;Появление сморчков;3;Красная новь;
1256;Пришвин М.;Русская весна;Руль;Берлин;газета;№2558;26.04.1929;проза;отрывок;Майский мороз;3;Красная новь;
1257;Толстой А.Н.;Петр 1;Руль;Берлин;газета;№2560;28.04.1929;проза;полный текст;;7—8;;
1258;Смирнов Н.;Весна;Руль;Берлин;газета;№2570;12.05.1929;проза;полный текст;;7—8;;
1259;Алексеев Г.;Внезапный день;Руль;Берлин;газета;№2578;23.05.1929;проза;полный текст;;2—4;;
1260;Смирнов Н.;На Волге;Руль;Берлин;газета;№2582;28.05.1929;проза;полный текст;;2—3;;
1261;Лидин В.;Гурий;Руль;Берлин;газета;№2592;08.06.1929;проза;полный текст;;2;;
1262;Романов П.;Осень;Руль;Берлин;газета;№2599;16.06.1929;проза;отрывок;;2—3;;
1263;Романов П.;Осень;Руль;Берлин;газета;№2600;18.06.1929;проза;отрывок;;2—3;;
1264;Романов П.;Осень;Руль;Берлин;газета;№2602;20.06.1929;проза;отрывок;;2;;
1265;Панфилов Е.;Ревность ;Руль;Берлин;газета;№2616;06.07.1929;проза;полный текст;;2;КР. П.;
1266;Инбер В.;Где ничего не случается;Руль;Берлин;газета;№2617;07.07.1929;проза;полный текст;;2—3;;
1267;Дроздов А.;Дверь со львами;Руль;Берлин;газета;№2617;07.07.1929;проза;отрывок;;7—8;;
1268;Романов П.;Зима;Руль;Берлин;газета;№2621;12.07.1929;проза;отрывок;;2—4;;
1269;Романов П.;Зима;Руль;Берлин;газета;№2622;13.07.1929;проза;отрывок;;2—3;;
1270;Дроздов А.;Дверь со львами;Руль;Берлин;газета;№2623;14.07.1929;проза;отрывок;;7—8;;
1271;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2624;15.07.1929;проза;отрывок;;4;;
1272;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2625;16.07.1929;проза;отрывок;;4;;
1273;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2627;19.07.1929;проза;отрывок;;4;;
1274;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2630;23.07.1929;проза;отрывок;;4;;
1275;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2631;24.07.1929;проза;отрывок;;4;;
1276;Алексеев Г.;Обреченная;Руль;Берлин;газета;№2633;26.07.1929;проза;отрывок;;4;;
1277;Слонимский М.;Городское происшествие;Руль;Берлин;газета;№2635;28.07.1929;проза;полный текст;;2—4;;
