;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
109;Слезкин Ю.;Писатель, критик и «рецензент» (литературный фельетон);Накануне ;Берлин;журнал;№623(№106);11.05.1924;проза;полный текст;;5–6;;
110;Шестаков Н.;Рыбий пузырь;Накануне ;Берлин;журнал;№629(№112);18.05.1924;проза;отрывок;;1–3;;
111;Брюсов В.Я.;Миг;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
112;Булгаков П.И.;"Жадность 
";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
113;"Гумилев Н.С. 
";"Костер 
";Издательство Гржебина;Берлин;издательство;;1920;стихи;полный текст;;;;
114;Гумилев Н.С.;"Костер 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
115;Есенин С.А.;Собрание стихов и поэм. Т. 1.;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
116;"Замятин Е.И. 
";"Большим детям сказки 
";Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
117;"Замятин Е.И. 
";"Островитяне 
";Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
118;Замятин Е.И.;"Островитяне 
";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
124;"Новиков И.А. ";Жертва;Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
125;Пастернак Б.Л.;Сестра моя — жизнь ;Издательство Гржебина;Берлин;издательство;;1923;стихи;полный текст;;;;
126;Пильняк Б.А.;Голый год;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
127;"Пильняк Б.А.
";Иван-да-Марья;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
128;Подъячев С.П.;"Жизнь мужицкая ";Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
129;Подъячев С.П.;Ревность ;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
130;"Пяст В.А. ";"Лирика 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
131;"Пяст В.А. ";Львиная пасть;Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
132;Пяст В.А.;"Ограда 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
133;"Пяст В.А. ";"Третья книга лирики 
";Издательство Гржебина;Берлин;издательство;;1922;стихи;полный текст;;;;
134;Сергеев-Ценский С.Н.;Чудо;Издательство Гржебина;Берлин;издательство;;1923;проза;полный текст;;;;
135;Телешов Н.Д.;Рассказы;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
136;Форш О.Д.;Смерть Коперника;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
137;Чапыгин А.П.;Белый скит;Издательство Гржебина;Берлин;издательство;;1922;проза;полный текст;;;;
138;Шагинян М.С.;"Orientalia ";Издательство Гржебина;Берлин;издательство;;1921;проза;полный текст;;;;
139;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Бес да инок;36—48;;
140;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Месяц да солнце ;36—48;;
141;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про свинью жирную;36—48;;
142;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Дед да внук;36—48;;
143;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Петух да гусыня;36—48;;
144;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про медведя да осиновый кол с голосом;36—48;;
145;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про безродного чертяку;36—48;;
146;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Кобыла да чучел;36—48;;
147;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Мужик в пекле;36—48;;
148;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Фабричный мужик;36—48;;
149;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про корову бодучую;36—48;;
150;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Про купца да ягодку;36—48;;
151;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;11.1920;проза;полный текст;Как ворона за курицу служила;36—48;;
152;Цветаева М.;Пожирающий огонь-мой конь;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;49;;
153;Цветаева М.;Чердачный дворец мой, дворцовый чердак;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;49;;
154;Цветаева М.;Есть колосья тучные, есть колосья тощие;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;50;;
155;Цветаева М.;Благословляю ежедневный труд;Современные записки;Париж;журнал;;11.1920;стихи;полный текст;;50;;
156;Федорченко С.;Сказки и песни буковинские;Современные записки;Париж;журнал;;27.02.1921;проза;полный текст;;95—101;;
157;Волошин М.;Европа;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;86—88;;
158;Волошин М.;Стенькин суд;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;89—91;;
159;Волошин М.;Дмитрий Император 1591-1613 гг.;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;92—94;;
160;Волошин М.;Святая Русь;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;95—96;;
161;Волошин М.;Молитва о городе: Феодосия в марте 1918 г.;Современные записки;Париж;журнал;;17.04.1921;стихи;полный текст;;97—99;;
162;Волошин М.;Видение Иезекииля;Современные записки;Париж;журнал;;09.06.1921;стихи;полный текст;;99—101;;
163;Волошин М.;Пресуществление;Современные записки;Париж;журнал;;09.06.1921;стихи;полный текст;;102—103;;
164;Цветаева М.;Если душа родилась крылатой ;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;74;;
165;Цветаева М.;Высоко мое оконце!;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;75;;
166;Цветаева М.;Семь мечей пронзали сердце;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;76;;
