number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
822;Пушкин А.С.;м;Евгений Онегин;Осень и зима;поэзия;1833;роман в стихах;нет;нет;Уж небо осенью дышало;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
823;Пушкин А.С.;м;Евгений Онегин;Зима;поэзия;1833;роман в стихах;нет;нет;Вот север, тучи нагоняя;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
824;Никитин И.С.;м;Встреча зимы;undefined;поэзия;1854;стихотворение;нет;нет;Здравствуй, гостья-зима;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
825;Фет А.А.;м;Чудная картина;undefined;поэзия;1847;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
826;Вяземский П.А.;м;Масленица на чужой стороне;Матушка-зима;поэзия;1853;стихотворение;нет;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
827;Некрасов Н.А.;м;Мороз Красный нос;Мороз-воевода;поэзия;1863;стихотворение;нет;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
828;Бальмонт К.Д.;м;Снежинка;undefined;поэзия;1903;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
829;Пушкин А.С.;м;Зимняя дорога;undefined;поэзия;1826;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
830;Огарев Н.П.;м;Дорога;undefined;поэзия;1851;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
831;Эренбург И.Г.;м;Когда в Париже осень злая;undefined;поэзия;1912;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
832;фольклор;undefined;Весная, весна красна;undefined;поэзия;фольклор;песня;undefined;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
833;Майков А.Н.;м;Ласточка примчалась;Ласточка;поэзия;1858;стихотворение;да;нет;Ласточка примчалась;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
834;Жемчужников А.М.;м;С гор потоки;undefined;поэзия;1893;стихотворение;нет;нет;Весна, весна по всем приметам;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
835;Тютчев Ф.И.;м;Зима недаром злится;Зима и весна;поэзия;1836;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
836;Майков А.Н.;м;Весна! Выставляется первая рама;Весна;поэзия;1854;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
837;Городецкий С.М.;м;Весенняя песенка;undefined;поэзия;1906;стихотворение;да;нет;Выпал вешний денек;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
838;Гиппиус З.Н.;ж;Журавли;undefined;поэзия;1903-1909;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
839;Никитин И.С.;м;Степь;undefined;поэзия;1854;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
840;Некрасов Н.А.;м;Зеленый шум;undefined;поэзия;1863;стихотворение;нет;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
841;Толстой А.К.;м;Сватовство;undefined;поэзия;1871;стихотворение;нет;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
842;Апухтин А.Н.;м;Проселок;undefined;поэзия;1858;стихотворение;нет;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
843;Апухтин А.Н.;м;Песни;undefined;поэзия;1858;стихотворение;да;нет;undefined;Л.А.Коварская;Париж;1921;undefined;сборник стихотворений;undefined;undefined;Коварская_1921
844;Толстой А.К.;м;Колокольчики;undefined;поэзия;1854;стихотворение;нет;нет;Колокольчики мои,;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
845;Жуковский В.А.;м;Мальчик с пальчик;undefined;поэзия;1851;сказка;нет;нет;Жил малеький мальчик;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
846;Майков А.Н.;м;Мать и дети;undefined;поэзия;18??;стихотворение;да;нет;Кто вас, детки, крепко любит;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
847;undefined;undefined;Маленький грамотей;undefined;проза;undefined;undefined;да;да;Сидел раз Фомка на завалинке и читал книгу;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
848;Толмачева М.Л.;ж;Как жила Тася;Старый мишка;проза;1913;undefined;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
849;Плещеев А.Н.;м;Шаловливые ручонки;undefined;поэзия;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
850;Поздняков Н.Ф.;м;Бабушка и внучка;undefined;проза;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
851;Толмачева М.Л.;ж;Как жила Тася;На дачу;проза;1914;повесть;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
852;Надсон С.Я.;м;У кроватки;undefined;поэзия;1884;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
853;Суриков И.З.;м;Детство;undefined;поэзия;1866;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
854;Бажина С.Н.;ж;Мотька;undefined;проза;1890;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
855;undefined;undefined;Честный человек;undefined;undefined;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;перевод Рейнталь с эстонского;Дормидонтова_хрест_Ревель_1922
856;Дмитриева В.И.;ж;В деревне;undefined;проза;undefined;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
857;Суриков И.З.;м;Горе;undefined;поэзия;1872;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
858;Модзалевский Л.Н.;м;Кончил дело- гуляй смело;undefined;проза;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
859;Поздняков Н.Ф.;м;Три брата ленивых;undefined;проза;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
860;Александрович А.Д.;м;Два друга;undefined;проза;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
861;Дмитриева В.И.;м;Малыш и жучка;Как малыш поступил в школу;проза;undefined;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
862;Толстой Л.Н.;м;Старый дед и внучкка;undefined;проза;1875;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
863;Ушинский К.Д.;м;Ворон и сорока;undefined;проза;undefined;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
864;Толстой Л.Н.;м;Косточка;undefined;проза;1875;быль;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
865;Ушинский К.Д.;м;Два плуга;undefined;проза;undefined;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
866;Толстой Л.Н.;м;Как вор сам себя выдал;undefined;проза;1875;быль;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
867;Толстой Л.Н.;м;Пожар;undefined;проза;1875;быль;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
868;Толстой Л.Н.;м;Пожарные собаки;undefined;проза;1875;быль;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
869;Толстой Л.Н.;м;Девочки и грибы;undefined;проза;1875;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
870;undefined;undefined;Грибок подосиновик;undefined;проза;undefined;undefined;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;из русской грамоты;Дормидонтова_хрест_Ревель_1922
871;Толстой Л.Н.;м;Лев и собачка;undefined;проза;1875;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
872;Ушинский К.Д.;м;Леший;undefined;проза;undefined;рассказ;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
873;Данилевский Г.П.;м;Привидение;undefined;проза;1879;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
874;Журавская З.Н.;ж;Не все сразу, господа;undefined;проза;18??;рассказ;undefined;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
875;Толстой Л.Н.;м;Воробей и ласточка;undefined;проза;1875;рассказ;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
876;Тургенев И.С.;м;Воробей;undefined;проза;1878;стихотворение в прозе;undefined;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
877;фольклор;undefined;Птичка над моим окном;undefined;поэзия;фольклор;песня;нет;нет;Птичка над моим окном Гнездышко для деток вьет;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
878;Крылов И.А.;м;Чиж и голубь;undefined;поэзия;1816;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
879;Шведер Е.М.;м;Самоотверженные муравьи;undefined;проза;19??;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
880;фольклор;undefined;Журавль и цапля;undefined;проза;фольклор;народная сказка;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
881;Крылов И.А.;м;Волк и журавль;undefined;поэзия;1816;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
882;Крылов И.А.;м;Лебедь, рак и щука;undefined;поэзия;1814;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
883;фольклор;undefined;Репка;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
884;фольклор;undefined;Козлята и волк;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
885;фольклор;undefined;Колобок;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
886;фольклор;undefined;Кувшин-теремок;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
887;фольклор;undefined;Лисичка-сестричка и волк;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
888;фольклор;undefined;Чорт и его сын;undefined;проза;фольклор;эстонская сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
889;фольклор;undefined;Ворон и рак;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
890;Крылов И.А.;м;Ворона и лисица;undefined;поэзия;1808;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
891;Крылов И.А.;м;Лисица и виноград;undefined;поэзия;1808;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
892;фольклор;м;Заяц и лягушка;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
893;Крылов И.А.;м;Лягушка и вол;undefined;поэзия;1808;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
894;Погосский А.Ф.;м;Без кнута;undefined;проза;18??;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
895;фольклор;undefined;Медвежья лапа;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
896;фольклор;undefined;Мужик и медведь;undefined;проза;фольклор;сказка;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
897;Некрасов Н.А.;м;Генерал Топтыгин;undefined;поэзия;1867;стихотворение в прозе;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
898;Толстой Л.Н.;м;Акула;undefined;проза;1875;рассказ;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
899;Толстой Л.Н.;м;Прыжок;undefined;проза;1875;рассказ;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
900;Толстой Л.Н.;м;Отчего зло на свете;undefined;проза;1875;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
901;undefined;undefined;Здесь и там;undefined;драма;undefined;драма;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
902;undefined;undefined;Работа пахаря;undefined;проза;undefined;undefined;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;русская грамота;Дормидонтова_хрест_Ревель_1922
903;Кольцов А.В.;м;Песня пахаря;undefined;поэзия;1831;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
904;Фет А.А.;м;Весеннее утро;undefined;поэзия;1843;стихотворение;да;нет;Я пришел к тебе с приветом;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
905;Пушкин А.С.;м;Евгений Онегин;Появление весны;поэзия;1833;роман в стихах;нет;нет;Гонимы вешними лучами;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
906;Некрасов Н.А.;м;Зеленый шум;undefined;поэзия;1863;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
907;Некрасов Н.А.;м;Дедушка Мозай и зайцы;undefined;поэзия;1873;стихотворение;нет;нет;Дети, я Вам расскажу про Мозая;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
908;Тютчев Ф.И.;м;Весенние воды;undefined;поэзия;1830;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
909;Тютчев Ф.И.;м;Весенняя гроза;undefined;поэзия;1828;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
910;Майков А.Н.;м;Весна! Выставляется первая рама;undefined;поэзия;1854;стихотворение;да;нет;Весня! Выставляется первая рама;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
911;Плещеев А.Н.;м;Мой садик;undefined;поэзия;1858;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
912;Бунин И.А.;м;В поезде;undefined;поэзия;1893;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
913;Чехов А.П.;м;Весной;undefined;проза;1886;рассказ;нет;нет;С земли еще не сошел снег;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
914;Туманский Ф.А.;м;Птичка;undefined;поэзия;1827;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
915;Елич Е.;м;Светлый праздник;undefined;проза;19??;рассказ;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
916;Кайгородов Д.Н.;м;Убитая птица;undefined;проза;18??;рассказ;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
917;Бальмонт К.Д.;м;Песня без слов;Песня;поэзия;1894;стихотворение;нет;нет;Ландыши. Лютики;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
918;Гаршин В.М.;м;Сказка о жабе и розе;Роза;проза;1884;сказка;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
919;Толстой Л.Н.;м;Как чертонок краюшку выкупал;undefined;проза;1875;сказка;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
920;Гоголь Н.В.;м;Мертвые души;Сапожник;проза;1842;поэма;нет;нет;Учился ты у немца;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
921;Белоусов И.А.;м;Лето;undefined;поэзия;undefined;рассказ;undefined;undefined;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
922;Толстой А.К.;м;Где гнутся над омутом лозы;undefined;проза;1840;рассказ;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
923;Майков А.Н.;м;Сенокос;undefined;поэзия;1856;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
924;Майков А.Н.;м;Летний дождь;undefined;поэзия;1856;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
925;Черный А.;м;У Балтийского моря;undefined;поэзия;1910;стихотворение;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
926;Никитин И.С.;м;Утро на берегу озера;undefined;поэзия;1854;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
927;Белоусов И.А.;м;Ночь идет;undefined;поэзия;1886;колыбельная;да;нет;Тихо пламя зорьки ясной;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
928;Крылов И.А.;м;Туча;undefined;поэзия;1815;басня;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
929;Некрасов Н.А.;м;Мороз Красный нос;Сон Дарьи;поэзия;1863;поэма;нет;нет;И снится ей жаркое лето;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
930;Лермонтов М.Ю.;м;Казачья колыбельная песня;undefined;поэзия;1838;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
931;Кедрова А.;ж;Канун Троицына дня;undefined;проза;undefined;undefined;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
932;фольклор;undefined;Береза моя, березонька;Березонька;поэзия;фольклор;песня;нет;нет;Береза моя, березонька;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
933;Аксаков С.Т.;м;Детские годы Багрова-внука;Сенокос;проза;1858;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
934;Ушинский К.Д.;м;Жатва;undefined;проза;undefined;undefined;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
935;undefined;undefined;В саду;undefined;проза;undefined;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
936;Пушкин А.С.;м;Евгений Онегин;Песня девушек;поэзия;1833;роман в стихах;нет;нет;Девицы, красавицы;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
937;Тургенев И.С.;м;Перепелка;undefined;проза;1882;повесть;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
938;Чехов А.П.;м;Налим;undefined;проза;1885;рассказ;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
939;Короленко В.Г.;м;Лес шумит;undefined;проза;1886;рассказ;нет;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
940;Лермонтов М.Ю.;м;Когда волнуется желтеющая нива;undefined;поэзия;1837;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
941;Сологуб Ф.К.;м;Где грустят леса дремливые;Наш север;поэзия;1895;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
942;Толстой Л.Н.;м;Осень;undefined;проза;1875;рассказ;да;нет;Осень ! Осыпается весь наш бедный сад;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
943;Пушкин А.С.;м;Евгений Онегин;Наступление осени;поэзия;1833;роман в стихах;нет;нет;Уж небо осень дышало;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
944;Минский Н.М.;м;Листопад;undefined;поэзия;1900;стихотворение;да;нет;undefined;З.Н.Дормидонтова;Ревель (Таллин);1922;undefined;хрестоматия;undefined;undefined;Дормидонтова_хрест_Ревель_1922
