number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
2128;Чириков Е.Н.;м;Ранние всходы;Война с крапивой;проза;1903;рассказ;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2129;Плещеев А.Н.;м;Бабушка и внучек;undefined;поэзия;1878;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2130;Плещеев А.Н.;м;Ученье свет;undefined;поэзия;18??;стихотворение;да;нет;Солнышко блеснуло в мерзлое окно;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2131;Егоров Я.Е.;м;В школу;undefined;поэзия;1905;стихотворение;да;нет;Хмурой осенью;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2132;Мамин-Сибиряк Д.Н.;м;Весенние грозы;Утро в школе;проза;1893;роман;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2133;Мамин-Сибиряк Д.Н.;м;Весенние грозы;Редкий гость;проза;1893;роман;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2134;Ремизов А.М.;м;Оля;Оля-грамотей;проза;1927;повесть;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2135;Ремизов А.М.;м;Оля;Оля хочет быть доктором;проза;1927;повесть;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2136;Вьюгова С.;ж;Сочинение;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2137;undefined;undefined;Егор Артельный;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
