;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Волошин М.;Снова облака тяжелые свитки;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;стихи;полный текст;;2;;;;;
;Волошин М.;Опять бреду я босоногий;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;стихи;полный текст;;2;;;;;Коктебель, 16-го ноября 1919 г.
;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;проза;отрывок;Песня Гейлюна;3—4;;;;;
;Никулин Л. ;1918;Накануне ;Берлин;Литературное приложение ;№252(№38);1923;04.02.;проза;отрывок;;1—3;;;;;
;Волошин М.;Русь;Накануне ;Берлин;Литературное приложение ;№264(№40);1923;18.02.;стихи;полный текст;;1;;;;;5 января 1923 г., Коктебель
;Ивнев Р.;Сумерки в Чакве;Накануне ;Берлин;Литературное приложение ;№264(№40);1923;18.02.;стихи;полный текст;;2;;;;;
;Соколов-Микитов И.;В лесу;Накануне ;Берлин;Литературное приложение ;№264(№40);1923;18.02.;проза;полный текст;;2—3;;;;;
;Катаев В.;Патерик;Накануне ;Берлин;Литературное приложение ;№270(№41);1923;25.02.;стихи;полный текст;;1;;;;;
;Слезкин Ю.;Самостийники;Накануне ;Берлин;Литературное приложение ;№270(№41);1923;25.02.;проза;отрывок;Диверсия полковника Щербовенкова;2—4;;;;;
;Пришвин М.;От земли и городов ;Накануне ;Берлин;Литературное приложение ;№276(№42);1923;04.03.;проза;отрывок;Никола Сидящий;1—2;;;;;
;Асеев Н.;Электриада;Накануне ;Берлин;Литературное приложение ;№282(№43);1923;11.03.;стихи;отрывок;;1;;;;;1923 II 6
;Пришвин М.;От земли и городов ;Накануне ;Берлин;Литературное приложение ;№288(№44);1923;18.03.;проза;отрывок;Милость мира;1—2;;;;;Москва, 1922 г, Октябрь
;Никулин Л. ;1919;Накануне ;Берлин;Литературное приложение ;№299(№46);1923;01.04.;проза;отрывок;;;;;;;
;Крючков С. ;Певчей птахе ли, зверю ли, рыбе-ль;Накануне ;Берлин;Литературное приложение ;№316(№49);1923;22.04.;стихи;полный текст;;1;;;;;
